year,date,u_mean,west_frac,n
2015,2015-09-15,2.65895331698137,80.0,10
2015,2015-09-16,-0.2889592970939917,22.22222222222222,9
2015,2015-09-17,0.861026837777482,38.46153846153847,13
2015,2015-09-18,2.727081724408069,90.9090909090909,11
2015,2015-09-19,4.235998695229961,100.0,13
2015,2015-09-20,4.4963069205730415,100.0,11
2015,2015-09-21,5.234919422785793,100.0,11
2015,2015-09-22,4.522970059938232,69.23076923076923,13
2015,2015-09-23,3.267543344360372,100.0,14
2015,2015-09-24,3.764896306839998,100.0,11
2015,2015-09-25,4.8994156581695965,100.0,17
2015,2015-09-26,5.265408646032186,100.0,15
2015,2015-09-27,7.0662112491568925,100.0,14
2015,2015-09-28,4.819297262568309,100.0,12
2015,2015-09-29,2.951098718934063,100.0,11
2015,2015-09-30,3.0582810800006115,100.0,8
2015,2015-10-01,0.6997131808763682,50.0,10
2015,2015-10-02,2.503821079652312,100.0,7
2015,2015-10-03,2.506336304580925,76.92307692307693,13
2015,2015-10-04,2.473856534804532,75.0,12
2015,2015-10-05,-1.2252254911558085,16.666666666666664,6
2015,2015-10-06,0.2082629006021346,37.5,8
2015,2015-10-07,1.6646848495118158,88.88888888888889,9
2015,2015-10-08,5.121231580331751,100.0,12
2015,2015-10-09,6.662515726644895,100.0,11
2015,2015-10-10,4.347574837933968,100.0,11
2015,2015-10-11,4.636423715873693,100.0,16
2015,2015-10-12,5.128643840489757,100.0,14
2015,2015-10-13,6.900343945776683,100.0,12
2015,2015-10-14,6.272807728758256,100.0,11
2015,2015-10-15,5.58394283519875,100.0,10
2015,2015-10-16,6.311629655258839,87.5,8
2015,2015-10-17,2.337731617202131,100.0,9
2015,2015-10-18,2.0234183932711005,80.0,10
2015,2015-10-19,2.7987617917647,90.0,10
2015,2015-10-20,0.691828046825465,88.88888888888889,9
2015,2015-10-22,1.5633931218277726,90.0,10
2015,2015-10-23,1.1815032613691567,58.333333333333336,12
2015,2015-10-24,2.323386718276621,100.0,10
2015,2015-10-25,2.600549825765297,88.88888888888889,9
2015,2015-10-26,0.0270977051132521,37.5,8
2015,2015-10-27,-0.0113387977423155,33.33333333333333,9
2015,2015-10-28,-0.3367345788896077,12.5,8
2015,2015-10-29,1.6115595051174498,100.0,5
2015,2015-10-30,0.7293604120776783,90.9090909090909,11
2015,2015-10-31,-0.9813263338124308,36.36363636363637,11
2015,2015-11-01,-0.9316717054400526,25.0,8
2015,2015-11-02,-2.10682450508794,25.0,12
2015,2015-11-03,-3.3522021694773487,0.0,10
2015,2015-11-04,-2.6985780502101573,0.0,13
2015,2015-11-05,-1.609335961496072,0.0,11
2015,2015-11-06,0.2376741364801293,50.0,4
2015,2015-11-07,0.0975862306075859,25.0,4
2015,2015-11-08,0.2887561990459033,12.5,8
2015,2015-11-09,-0.6891044802495648,50.0,12
2015,2015-11-10,1.8557972454959395,91.66666666666666,12
2015,2015-11-11,2.502358834214346,90.9090909090909,11
2015,2015-11-12,2.0801803275258823,77.77777777777779,9
2015,2015-11-13,3.4489275237601555,90.0,10
2015,2015-11-14,-0.1935532367419871,0.0,6
2015,2015-11-15,-0.6239129461947556,9.090909090909092,11
2015,2015-11-16,-1.4623548704948115,0.0,5
2015,2015-11-17,-0.7680455024896115,41.66666666666667,12
2015,2015-11-18,0.4862381053448832,100.0,8
2015,2015-11-19,-0.2156570897691609,60.0,5
2015,2015-11-20,2.3452698075503133,100.0,11
2015,2015-11-21,0.8401742632787004,87.5,8
2015,2015-11-22,1.0599076394877094,62.5,8
2015,2015-11-23,0.7582267662839499,90.9090909090909,11
2015,2015-11-24,-0.54054202534759,54.54545454545454,11
2015,2015-11-25,-0.5769844144859848,30.0,10
2015,2015-11-26,-0.7631106324341939,75.0,8
2015,2015-11-27,3.474993035241963,85.71428571428571,7
2015,2015-11-28,0.4053027517524898,20.0,5
2015,2015-11-29,4.22991530380486,100.0,12
2015,2015-11-30,3.1789567836794275,100.0,8
2015,2015-12-01,0.1708231176563402,33.33333333333333,9
2015,2015-12-02,1.708439328609994,80.0,5
2015,2015-12-03,2.423986886074168,81.81818181818183,11
2015,2015-12-04,2.057806441651783,90.0,10
2015,2015-12-05,1.207471434866117,87.5,8
2015,2015-12-06,-0.9981985559287864,25.0,8
2015,2015-12-07,-0.392862330720607,37.5,8
2015,2015-12-08,-2.272225035414553,0.0,6
2015,2015-12-09,-2.662518035069924,0.0,13
2015,2015-12-10,-2.2922939404252727,0.0,9
2015,2015-12-11,-2.67459445685436,0.0,12
2015,2015-12-12,-3.245256578227665,0.0,11
2015,2015-12-13,-2.7041000629458107,0.0,13
2015,2015-12-15,-4.872332406498095,0.0,7
2015,2015-12-16,2.2440542848625653,90.0,10
2015,2015-12-17,1.67048902193114,72.72727272727273,11
2015,2015-12-18,2.208485224668535,87.5,8
2015,2015-12-19,2.8312781010842154,100.0,10
2015,2015-12-20,0.1917436930017589,66.66666666666666,6
2015,2015-12-21,0.9170851887473052,57.14285714285714,7
2015,2015-12-22,2.1249074422791527,91.66666666666666,12
2015,2015-12-23,1.1942851971080837,50.0,12
2015,2015-12-24,3.5837927186676546,100.0,9
