case_id,p_name,p_state,p_cap_ac,p_axis,p_sys_type,ylat,xlong,eia_id,BA
402604,Rensselaer Solar Site 2,IN,4.0,single-axis,ground,40.95,-87.1481,61799,MISO
402801,Springfield Solar PV,MA,4.0,fixed-tilt,ground,42.1327,-72.5544,62072,ISNE
403265,Kearsarge Gill,MA,2.0,fixed-tilt,ground,42.671,-72.4773,62911,ISNE
402850,MSC-Scandia 01 (CSG),MN,1.0,single-axis,ground,45.2886,-92.8823,62144,MISO
402064,Nesvold Watertown Solar,MN,5.0,fixed-tilt,ground,44.9367,-93.833,60958,MISO
402380,"SunE Feely 1 (CSG), LLC",MN,5.0,fixed-tilt,ground,44.6544,-93.1112,61478,MISO
402499,"Waterville (CSG) Solar Holdings, LLC",MN,5.0,fixed-tilt,ground,44.1981,-93.5683,61627,MISO
402795,Anoka County MN CONX,MN,3.4,fixed-tilt,ground,45.2349,-93.4837,62061,MISO
402812,Schultz (CSG),MN,1.8,fixed-tilt,ground,44.5583,-93.3765,62088,MISO
402947,USS Centerfield Solar (CSG),MN,1.0,single-axis,ground,44.5317,-93.3483,62335,MISO
402383,"SunE Stolee (CSG), LLC",MN,3.0,fixed-tilt,ground,44.2965,-93.0632,61485,MISO
402384,"Wyoming 2 (CSG), LLC",MN,5.0,fixed-tilt,ground,45.327,-92.9347,61486,MISO
402382,"Fox (CSG), LLC",MN,5.0,fixed-tilt,ground,45.388,-92.6799,61484,MISO
403116,Haven Solar Project (CSG),MN,3.0,fixed-tilt,ground,45.5186,-94.1239,62651,MISO
403459,Linden 02 (CSG),MN,1.0,fixed-tilt,ground,44.5929,-93.8466,63182,MISO
404760,"USS Prokosch Solar, LLC",MN,1.0,single-axis,ground,44.7686,-94.9071,64988,MISO
403425,"USS Mayhew Solar, LLC (CSG)",MN,1.0,single-axis,ground,45.627,-94.0412,63144,MISO
405475,"USS Water Fowl Solar, LLC CSG",MN,1.0,single-axis,ground,44.9031,-94.136,63219,MISO
402268,Higginsville Solar Farm,MO,2.5,fixed-tilt,ground,39.0022,-93.7275,61316,SWPP
402044,"Red Oak Solar Farm, LLC",NC,4.9,fixed-tilt,ground,35.9957,-77.9362,60929,DUK
400661,"Montgomery Solar, LLC",NC,20.0,fixed-tilt,ground,35.3446,-79.765,58649,DUK
