case_id,p_name,p_state,p_cap_ac,p_axis,p_sys_type,ylat,xlong,eia_id
EIA_69233,CA- US Foods- Sacramento (McClellan),CA,1.0,single-axis,ground-mounted,38.649095,-121.4122,69233
EIA_69235,Blairs Valley Solar Project,PA,20.0,single-axis,ground-mounted,39.8034,-77.9216,69235
EIA_69236,Vandalia Renewable Energy Center,MO,50.0,single-axis,ground-mounted,39.27,-91.506,69236
EIA_69240,Rocky Mountain Elk Solar Community Solar,IL,5.0,single-axis,ground-mounted,41.364,-89.685,69240
EIA_69241,Buckheart Creek Solar I Community Solar,IL,4.5,single-axis,ground-mounted,40.53985,-90.02651,69241
EIA_69243,REG Mason City Solar,IA,2.6,single-axis,ground-mounted,43.136174,-93.26386,69243
EIA_69247,Prologis Meadowlands 9305 - SLNNJ305,NJ,1.3,single-axis,ground-mounted,40.838076,-74.06259,69247
EIA_69248,Speedway North Bldg 1-sllas701,NV,1.0,single-axis,ground-mounted,36.201946,-115.1202,69248
EIA_69261,Malakoff Solar Project,TX,10.0,single-axis,ground-mounted,32.183314,-96.01754,69261
EIA_69263,Fairfield Solar Project,TX,10.0,single-axis,ground-mounted,31.714249,-96.18668,69263
EIA_69264,CFF Rice Mill Solar Plant,CA,3.5,single-axis,ground-mounted,39.04162,-122.0666,69264
EIA_69265,Talco Solar Project,TX,7.5,single-axis,ground-mounted,33.3516,-95.1732,69265
EIA_69273,Danton XI Solar LLC,MA,1.8,single-axis,ground-mounted,42.720174,-71.21103,69273
EIA_69280,NY 5 King LLC,NY,5.0,single-axis,ground-mounted,43.140227,-73.68773,69280
EIA_69281,NY 24 Sherman LLC,NY,5.0,single-axis,ground-mounted,43.14137,-73.69206,69281
EIA_69284,NY 262 Libertyville LLC,NY,2.9,single-axis,ground-mounted,41.724601,-74.12949,69284
EIA_69285,NY Country Road 67 and Majorana,NY,2.8,single-axis,ground-mounted,42.35322,-74.02442,69285
EIA_69287,"Wheeler Gulch Solar, LLC",CO,9.9,single-axis,ground-mounted,39.48234,-108.1005,69287
EIA_69288,Palm Springs DAC PV,CA,1.6,single-axis,ground-mounted,33.825324,-116.4847,69288
EIA_69289,EDFR Bluebonnet,TX,9.9,single-axis,ground-mounted,31.411854,-97.42367,69289
EIA_69303,Enterprise MN - Buscho CSG,MN,1.0,single-axis,ground-mounted,44.12187,-93.26694,69303
EIA_69304,Enterprise MN - Ferche CSG,MN,1.0,single-axis,ground-mounted,45.389816,-94.71178,69304
EIA_69306,Costen Solar,MD,8.8,single-axis,ground-mounted,38.0978,-75.6108,69306
EIA_69307,Enterprise MN - Hu's on First CSG,MN,1.0,single-axis,ground-mounted,44.417036,-93.15033,69307
EIA_69314,Cenergy IL - Zion CSG,IL,2.0,single-axis,ground-mounted,42.46445,-87.84902,69314
EIA_69315,NL IL - 241 North CSG,IL,5.0,single-axis,ground-mounted,41.289917,-87.8115,69315
EIA_69316,NL IL - 1875 North Road CSG,IL,5.0,single-axis,ground-mounted,40.894923,-88.65766,69316
EIA_69317,NL IL - 2000 North Road CSG,IL,5.0,single-axis,ground-mounted,41.149011,-87.78951,69317
EIA_69319,Kelso Solar,MO,200.0,single-axis,ground-mounted,37.05,-89.52,69319
EIA_69320,Parliament Solar,TX,480.0,single-axis,ground-mounted,29.979,-95.943,69320
EIA_69321,Kelso 2 Solar,MO,149.0,single-axis,ground-mounted,37.05,-89.52,69321
EIA_69325,NL IL - Piatt 1 - East CSG,IL,2.0,single-axis,ground-mounted,40.118044,-88.67347,69325
EIA_69326,NL IL - Piatt 2 - West CSG,IL,2.0,single-axis,ground-mounted,40.118044,-88.67347,69326
EIA_69328,V Street Solar,DC,4.1,single-axis,ground-mounted,38.917755,-76.99072,69328
EIA_69330,Cenergy IL - BA Family CSG,IL,5.0,single-axis,ground-mounted,41.126242,-87.98852,69330
EIA_69354,Rattler Solar Plant,FL,74.9,single-axis,ground-mounted,28.634293,-82.2887,69354
EIA_69355,Half Moon Solar Plant,FL,74.9,single-axis,ground-mounted,28.955619,-82.15959,69355
EIA_69368,Tinta Wita 5 MW Solar PV System,MN,4.5,single-axis,ground-mounted,44.632,-92.643,69368
EIA_69370,RP Minnesota Solar,CA,1.8,single-axis,ground-mounted,34.20017,-118.9281,69370
EIA_69374,Liverpool Solar Partners,PA,1.5,single-axis,ground-mounted,40.582768,-76.98408,69374
EIA_69378,RP SCG Texas Solar,TX,1.5,single-axis,ground-mounted,30.427708,-97.74735,69378
EIA_69379,NSF Chateaugay Site 1,NY,5.0,single-axis,ground-mounted,44.93,-74.032,69379
EIA_69380,NSF Chateaugay Site 2,NY,4.4,single-axis,ground-mounted,44.95,-74.05,69380
EIA_69381,Kelso Community Solar I,MD,1.6,single-axis,ground-mounted,39.32652,-76.48507,69381
EIA_69382,Kelso Community Solar II,MD,1.4,single-axis,ground-mounted,39.32681,-76.48878,69382
EIA_69386,NL MA - Copicut,MA,5.0,single-axis,ground-mounted,41.772597,-71.07385,69386
EIA_69387,Beecher (IL),IL,5.0,single-axis,ground-mounted,41.340311,-87.68268,69387
EIA_69388,"Apple River Solar, LLC",WI,100.0,single-axis,ground-mounted,45.381166,-92.30209,69388
EIA_69389,O'Brien 1,NY,5.0,single-axis,ground-mounted,42.410513,-76.2185,69389
EIA_69390,O'Brien 2,NY,5.0,single-axis,ground-mounted,42.410513,-76.2185,69390
EIA_69391,Broadlea,NY,4.9,single-axis,ground-mounted,41.382356,-74.28659,69391
EIA_69395,Blue Barns,NY,2.3,single-axis,ground-mounted,42.891,-73.886,69395
EIA_69396,Chenunda Creek,NY,2.4,single-axis,ground-mounted,42.08547,-77.81913,69396
EIA_69397,Gougar,IL,2.0,single-axis,ground-mounted,41.3864,-87.99722,69397
EIA_69398,Green Haven,NY,3.2,single-axis,ground-mounted,41.579885,-73.7108,69398
EIA_69399,Guyer,NY,3.5,single-axis,ground-mounted,42.894497,-73.89087,69399
EIA_69400,Independence North,NY,5.0,single-axis,ground-mounted,42.07463,-77.79626,69400
EIA_69401,Jeffery,IL,5.0,single-axis,ground-mounted,41.092129,-87.9844,69401
EIA_69402,Oak Orchard,NY,5.0,single-axis,ground-mounted,40.712749,-74.00599,69402
EIA_69405,NSF Marshall Site 2,NY,5.0,single-axis,ground-mounted,42.936,-75.419,69405
EIA_69406,NSF Marshall Site 1,NY,5.0,single-axis,ground-mounted,42.938,-75.426,69406
EIA_69408,Burlingame Solar Community Solar,OR,2.1,single-axis,ground-mounted,44.387836,-123.0126,69408
EIA_69409,"NSF Danby Site 1, LLC",NY,5.0,single-axis,ground-mounted,42.35211,-76.49782,69409
EIA_69410,"NSF Danby Site 2, LLC",NY,5.0,single-axis,ground-mounted,42.35311,-76.49364,69410
EIA_69412,"NSF Danby Site 3, LLC",NY,3.0,single-axis,ground-mounted,42.35308,-76.49364,69412
EIA_69414,Blevins Solar & Storage,TX,270.0,single-axis,ground-mounted,31.211152,-97.18508,69414
EIA_69419,NE IL - Esmen West,IL,5.0,single-axis,ground-mounted,40.94816,-88.67369,69419
EIA_69420,NL IL - Kiwi,IL,2.0,single-axis,ground-mounted,38.090082,-89.32463,69420
EIA_69421,"South Belleville Solar, LLC",IL,5.0,single-axis,ground-mounted,38.481308,-89.98829,69421
EIA_69425,NSF Marshall Site 3,NY,3.0,single-axis,ground-mounted,42.937,-75.419,69425
EIA_69428,Petersburg Energy Center,IN,250.0,single-axis,ground-mounted,38.461606,-87.29524,69428
EIA_69430,"Spring Brook Solar WI, LLC",WI,6.0,single-axis,ground-mounted,42.786466,-88.7536,69430
EIA_69431,"Rock LakeSolar WI, LLC",WI,5.0,single-axis,ground-mounted,43.113153,-88.97524,69431
EIA_69432,"Antigo Solar Partners, LLC",WI,6.0,single-axis,ground-mounted,45.152419,-89.16997,69432
EIA_69433,"La Grange Solar Partners, LLC",WI,6.0,single-axis,ground-mounted,42.79717,-88.58368,69433
EIA_69434,Gourmet Lane - SLNNJ480,NJ,2.0,single-axis,ground-mounted,40.52556,-74.36584,69434
EIA_69439,Medanos Solar LLC,IL,5.0,single-axis,ground-mounted,40.041163,-87.95006,69439
EIA_69440,Drummer Creek I Solar LLC,IL,5.0,single-axis,ground-mounted,40.448185,-88.37912,69440
EIA_69441,Water Lily Solar LLC,IL,2.6,single-axis,ground-mounted,41.485723,-88.26931,69441
EIA_69442,Beckham Solar LLC,IL,5.0,single-axis,ground-mounted,41.029463,-88.49735,69442
EIA_69443,Union Solar LLC,NJ,2.3,single-axis,ground-mounted,40.707921,-74.24851,69443
EIA_69447,Bilton Solar,CT,2.0,single-axis,ground-mounted,42.034,-72.5051,69447
EIA_69448,Ava Solar,MA,4.0,single-axis,ground-mounted,42.2657,-72.3151,69448
EIA_69476,Renegade Solar Energy LLC,MI,100.0,single-axis,ground-mounted,45.99731,-87.22625,69476
EIA_69483,Pivot Solar 40,CO,2.8,single-axis,ground-mounted,40.318083,-104.9277,69483
EIA_69484,Bancroft (MN),MN,3.0,single-axis,ground-mounted,43.689214,-93.38914,69484
EIA_69485,Bridge Creek,WI,2.5,single-axis,ground-mounted,44.723711,-91.158,69485
EIA_69486,Bright Future,WI,2.5,single-axis,ground-mounted,44.961373,-92.44342,69486
EIA_69487,Douglas (IA),IA,2.5,single-axis,ground-mounted,43.357753,-92.59386,69487
EIA_69488,Elk Mound (PV),WI,2.5,single-axis,ground-mounted,44.901566,-91.61363,69488
EIA_69489,Grand Meadow (PV),MN,3.0,single-axis,ground-mounted,43.659418,-92.57697,69489
EIA_69490,Greenfield,WI,2.5,single-axis,ground-mounted,43.730622,-91.09268,69490
EIA_69491,Hannibal,WI,2.5,single-axis,ground-mounted,45.257985,-90.7749,69491
EIA_69492,Little Cedar,IA,2.5,single-axis,ground-mounted,43.382652,-92.73294,69492
EIA_69493,Luck,WI,2.5,single-axis,ground-mounted,45.612524,-92.48349,69493
EIA_69494,Next Generation,WI,2.5,single-axis,ground-mounted,44.910349,-92.31375,69494
EIA_69495,Viola,WI,2.5,single-axis,ground-mounted,45.825848,-92.26411,69495
EIA_69498,Quakertown Solar Farm II,NJ,8.8,single-axis,ground-mounted,40.523,-74.938,69498
EIA_69499,Mousam River Solar,ME,20.0,single-axis,ground-mounted,43.432236,-70.72726,69499
EIA_69500,Pittsylvania CSG LLC,VA,3.8,single-axis,ground-mounted,36.857981,-79.39841,69500
EIA_69501,"Bristol Woods Solar WI, LLC",WI,6.0,single-axis,ground-mounted,42.526689,-87.99353,69501
EIA_69502,Adams Road Solar,WI,4.0,single-axis,ground-mounted,42.774153,-87.91919,69502
EIA_69503,"Perch Solar WI, LLC",WI,6.0,single-axis,ground-mounted,44.109735,-88.51583,69503
EIA_69505,NSF Union,NY,14.8,single-axis,ground-mounted,42.13,-76.076,69505
EIA_69518,Pilot Rock Solar 1,OR,2.0,single-axis,ground-mounted,45.505603,-118.8308,69518
EIA_69519,Pilot Rock Solar 2,OR,3.0,single-axis,ground-mounted,45.506575,-118.8302,69519
EIA_69525,Pennsville Landfill (CSG),NJ,4.3,single-axis,ground-mounted,39.637595,-75.54404,69525
EIA_69526,NL IL - Maples Road,IL,5.0,single-axis,ground-mounted,41.852588,-89.4049,69526
EIA_69527,NL IL - McConnell Road,IL,5.0,single-axis,ground-mounted,42.425623,-89.46585,69527
EIA_69528,Pluma - Curry Road North,NM,3.0,single-axis,ground-mounted,34.380407,-103.2316,69528
EIA_69529,Pluma - Pino,NM,5.0,single-axis,ground-mounted,35.632083,-105.2281,69529
EIA_69530,Emi NM Bent Bow,NM,5.0,single-axis,ground-mounted,32.735792000000004,-107.2411,69530
EIA_69531,REDP - Trenton,ME,5.0,single-axis,ground-mounted,44.484539,-68.36707,69531
EIA_69532,Pluma - SLT Las Cruces,NM,5.0,single-axis,ground-mounted,32.427319,-106.7088,69532
EIA_69536,"DMAT Denso - SEAT Solar Holdings, LLC",TN,5.3,single-axis,ground-mounted,35.481807,-84.64314,69536
EIA_69538,Twelvemile Solar 2,OK,52.2,single-axis,ground-mounted,36.331569,-95.22931,69538
EIA_69542,Fairfax Landfill,VA,5.0,single-axis,ground-mounted,38.69017,-77.24049,69542
EIA_69543,Great Valley Gernatt,NY,3.3,single-axis,ground-mounted,42.204,-78.642,69543
EIA_69544,0 Middle,MA,2.5,single-axis,ground-mounted,41.690131,-70.00878,69544
EIA_69545,15 Lincoln,MA,1.0,single-axis,ground-mounted,42.13199,-71.30249,69545
EIA_69546,Broadhead,ME,4.9,single-axis,ground-mounted,44.52169,-69.67441,69546
EIA_69550,"Dodson Creek Solar, LLC",OH,117.0,single-axis,ground-mounted,39.181498,-83.76753,69550
EIA_69557,Pluma - Reynolds (CSG),NM,5.0,single-axis,ground-mounted,33.051876,-106.008,69557
EIA_69561,Sunrise Solar Lincoln DE (CSG),DE,4.0,single-axis,ground-mounted,38.853476,-75.40124,69561
EIA_69563,Las Positas College,CA,2.3,single-axis,ground-mounted,37.71076,-121.8001,69563
