date,padd1a,padd1b
1994-04-15,4342.857142857143,7781.785714285715
1994-05-15,3066.4904761904763,5659.3452380952385
1994-06-15,2164.0714285714284,4837.142857142857
1994-07-15,1786.2642857142855,4556.778571428571
1994-08-15,2415.5642857142857,6004.773809523809
1994-09-15,3011.5714285714284,6646.857142857143
1994-10-15,3921.5,7847.354761904761
1994-11-15,4721.428571428572,8271.07142857143
1994-12-15,8476.359523809524,13318.78095238095
1995-01-15,8524.704761904763,14586.902380952382
1995-02-15,8944.333333333334,16129.466666666665
1995-03-15,7308.619047619048,11907.173809523809
1995-04-15,4598.357142857143,7756.285714285715
1995-05-15,3340.8404761904767,5312.957142857143
1995-06-15,1912.4285714285713,4143.285714285715
1995-07-15,1691.0499999999997,3980.1785714285716
1995-08-15,1973.5928571428574,4656.938095238095
1995-09-15,2914.285714285714,5499.928571428572
1995-10-15,3462.5523809523806,6604.180952380953
1995-11-15,6279.357142857143,10878.5
1995-12-15,10184.607142857143,16945.11666666667
1996-01-15,10406.92142857143,19384.595238095237
1996-02-15,9185.47380952381,17005.4619047619
1996-03-15,7181.592857142857,13291.471428571427
1996-04-15,4626.071428571428,8652.5
1996-05-15,3110.1857142857143,5620.078571428572
1996-06-15,1992.357142857143,4263.428571428572
1996-07-15,1826.7857142857142,4262.204761904762
1996-08-15,2043.195238095238,5293.471428571429
1996-09-15,2978.3571428571427,5927.285714285715
1996-10-15,4037.0857142857144,7850.75
1996-11-15,5970.071428571428,10432.642857142857
1996-12-15,7915.85,13903.278571428573
1997-01-15,10354.516666666666,16445.35238095238
1997-02-15,8279.133333333335,12454.133333333335
1997-03-15,7723.354761904761,11254.033333333333
1997-04-15,4826.071428571428,8000.071428571428
1997-05-15,3058.592857142857,5180.099999999999
1997-06-15,2304.1428571428573,4316.571428571428
1997-07-15,2075.819047619048,4708.752380952381
1997-08-15,2316.069047619048,5237.30238095238
1997-09-15,3045.3571428571427,6133.642857142857
1997-10-15,3932.8666666666663,6950.199999999999
1997-11-15,5899.4285714285725,9297.92857142857
1997-12-15,9329.007142857143,13070.411904761902
1998-01-15,7912.528571428572,13054.100000000002
1998-02-15,7562.933333333333,11471.133333333335
1998-03-15,6917.059523809524,11199.783333333333
1998-04-15,3890.285714285714,6923.5
1998-05-15,2393.2738095238096,5419.169047619048
1998-06-15,2144.714285714286,5026.5
1998-07-15,1740.7238095238097,5461.092857142857
1998-08-15,1869.595238095238,4605.271428571428
1998-09-15,2414.9285714285716,5010.857142857143
1998-10-15,3438.342857142857,6711.42619047619
1998-11-15,4395.0,8628.42857142857
1998-12-15,6108.402380952381,11147.526190476192
1999-01-15,9478.25,14698.871428571429
1999-02-15,8291.133333333335,11910.266666666668
1999-03-15,8136.5404761904765,12584.302380952382
1999-04-15,3096.5714285714284,6737.071428571428
1999-05-15,2253.552380952381,4717.314285714286
1999-06-15,1350.4285714285713,4830.785714285715
1999-07-15,1153.495238095238,4613.0952380952385
1999-08-15,1351.009523809524,4628.3738095238095
1999-09-15,1592.142857142857,4701.785714285715
1999-10-15,2675.2999999999997,7460.666666666667
1999-11-15,3586.0,9248.142857142857
1999-12-15,6655.035714285715,12595.152380952382
2000-01-15,9273.280952380952,14771.869047619048
2000-02-15,8093.00238095238,14192.530952380954
2000-03-15,5793.900000000001,9531.688095238094
2000-04-15,4038.714285714286,6847.285714285715
2000-05-15,2823.878571428572,5515.121428571429
2000-06-15,2084.285714285714,4923.857142857143
2000-07-15,1620.0452380952383,4035.9785714285717
2000-08-15,2247.1309523809523,5793.309523809524
2000-09-15,3007.0,6402.071428571428
2000-10-15,3769.969047619047,7731.473809523809
2000-11-15,5282.5,9470.07142857143
2000-12-15,8470.380952380952,15940.347619047618
2001-01-15,9927.897619047619,18100.604761904764
2001-02-15,8843.0,14409.066666666666
2001-03-15,7751.180952380953,13852.128571428571
2001-04-15,4803.0,9021.785714285714
2001-05-15,2686.445238095238,5579.040476190476
2001-06-15,2004.5,4868.428571428572
2001-07-15,1838.0047619047618,5156.407142857143
2001-08-15,2011.9738095238097,5413.928571428572
2001-09-15,2734.8571428571427,6005.071428571428
2001-10-15,3503.295238095238,7280.645238095239
2001-11-15,5133.785714285715,8169.785714285715
2001-12-15,6782.504761904762,11084.345238095239
2002-01-15,9063.14523809524,13058.75
2002-02-15,7391.199999999999,10570.066666666666
2002-03-15,6663.597619047619,9702.630952380952
2002-04-15,4453.928571428572,6491.5
2002-05-15,3251.6785714285716,4966.642857142857
2002-06-15,2038.642857142857,3855.0
2002-07-15,1838.742857142857,4345.535714285715
2002-08-15,1921.6309523809523,4183.8190476190475
2002-09-15,2461.785714285714,4605.642857142857
2002-10-15,4579.733333333334,6540.261904761905
2002-11-15,6365.5,8726.785714285714
2002-12-15,9700.933333333334,13880.39761904762
2003-01-15,11020.721428571429,16121.623809523811
2003-02-15,9148.199999999999,13391.2
2003-03-15,7239.902380952381,10620.89523809524
2003-04-15,5013.928571428572,7040.928571428572
2003-05-15,2974.154761904762,4562.166666666667
2003-06-15,1943.357142857143,3599.9285714285716
2003-07-15,1791.209523809524,3780.597619047619
2003-08-15,1921.5571428571432,4280.657142857143
2003-09-15,2994.2142857142853,4880.142857142857
2003-10-15,4129.938095238095,6539.302380952381
2003-11-15,4698.142857142857,6956.428571428572
2003-12-15,8351.473809523808,11815.059523809523
2004-01-15,11720.804761904761,15369.72619047619
2004-02-15,8571.709523809524,12558.17380952381
2004-03-15,7030.061904761906,8874.488095238095
2004-04-15,4546.357142857143,6090.285714285715
2004-05-15,2102.907142857143,4064.247619047619
2004-06-15,1917.2142857142858,3279.714285714286
2004-07-15,1554.354761904762,3020.0642857142857
2004-08-15,2015.8857142857141,3603.528571428571
2004-09-15,2604.6428571428573,3708.5714285714284
2004-10-15,3455.3190476190475,5346.835714285715
2004-11-15,5192.357142857143,6704.571428571428
2004-12-15,8169.311904761906,10449.361904761905
2005-01-15,9297.047619047618,12279.690476190477
2005-02-15,7635.533333333333,11016.866666666665
2005-03-15,7273.338095238096,9911.511904761905
2005-04-15,3396.214285714286,5394.642857142857
2005-05-15,3071.214285714286,4321.547619047619
2005-06-15,2288.8571428571427,3719.0
2005-07-15,1729.6523809523812,3656.2285714285717
2005-08-15,2281.378571428572,4392.035714285715
2005-09-15,2419.1428571428573,4570.857142857143
2005-10-15,3295.669047619048,5257.452380952381
2005-11-15,5024.0,7129.0
2005-12-15,7949.8761904761905,11336.183333333334
2006-01-15,7418.004761904762,9782.640476190476
2006-02-15,7170.800000000001,9576.066666666666
2006-03-15,6924.219047619048,8646.711904761903
2006-04-15,3226.8571428571427,4696.285714285715
2006-05-15,2644.8166666666666,3553.0428571428574
2006-06-15,1916.857142857143,3186.714285714286
2006-07-15,1597.2380952380952,3221.0476190476193
2006-08-15,1876.459523809524,3671.654761904762
2006-09-15,2289.1428571428573,4124.642857142857
2006-10-15,3429.411904761905,5063.849999999999
2006-11-15,4293.857142857143,6046.9285714285725
2006-12-15,5778.990476190476,6943.0404761904765
2007-01-15,7934.745238095238,9199.32380952381
2007-02-15,8578.800000000001,11690.600000000002
2007-03-15,6869.6,8942.02380952381
2007-04-15,4532.428571428572,5965.500000000001
2007-05-15,2711.540476190476,3801.8547619047617
2007-06-15,1579.5,2924.785714285714
2007-07-15,1402.8976190476192,3191.154761904762
2007-08-15,1589.0452380952383,3537.838095238095
2007-09-15,1860.7857142857142,3444.5
2007-10-15,2690.504761904762,4212.0142857142855
2007-11-15,4507.357142857143,5756.714285714285
2007-12-15,7365.083333333333,8336.121428571429
2008-01-15,7936.738095238095,9239.845238095239
2008-02-15,7161.619047619048,8854.528571428571
2008-03-15,5981.745238095238,6940.088095238096
2008-04-15,3567.5,4035.0
