T	BoM MJO RMM phase
julian_day	unitless
    2442507.    	    8.000000    
    2442508.    	    8.000000    
    2442509.    	    8.000000    
    2442510.    	   1.0000000    
    2442511.    	   1.0000000    
    2442512.    	    2.000000    
    2442513.    	    2.000000    
    2442514.    	    2.000000    
    2442515.    	    2.000000    
    2442516.    	    2.000000    
    2442517.    	    2.000000    
    2442518.    	    3.000000    
    2442519.    	    3.000000    
    2442520.    	    3.000000    
    2442521.    	    4.000000    
    2442522.    	    4.000000    
    2442523.    	    4.000000    
    2442524.    	    4.000000    
    2442525.    	    5.000000    
    2442526.    	    5.000000    
    2442527.    	    5.000000    
    2442528.    	    5.000000    
    2442529.    	    6.000000    
    2442530.    	    7.000000    
    2442531.    	    7.000000    
    2442532.    	    7.000000    
    2442533.    	    8.000000    
    2442534.    	   1.0000000    
    2442535.    	   1.0000000    
    2442536.    	    2.000000    
    2442537.    	    2.000000    
    2442538.    	    2.000000    
    2442539.    	    2.000000    
    2442540.    	    2.000000    
    2442541.    	    2.000000    
    2442542.    	    2.000000    
    2442543.    	    2.000000    
    2442544.    	    2.000000    
    2442545.    	    2.000000    
    2442546.    	    2.000000    
    2442547.    	    3.000000    
    2442548.    	    3.000000    
    2442549.    	    3.000000    
    2442550.    	    3.000000    
    2442551.    	   1.0000000    
    2442552.    	   1.0000000    
    2442553.    	   1.0000000    
    2442554.    	   1.0000000    
    2442555.    	   1.0000000    
    2442556.    	    2.000000    
    2442557.    	    2.000000    
    2442558.    	    2.000000    
    2442559.    	    2.000000    
    2442560.    	    2.000000    
    2442561.    	   1.0000000    
    2442562.    	   1.0000000    
    2442563.    	    8.000000    
    2442564.    	    8.000000    
    2442565.    	    8.000000    
    2442566.    	   1.0000000    
    2442567.    	   1.0000000    
    2442568.    	    2.000000    
    2442569.    	    2.000000    
    2442570.    	    3.000000    
    2442571.    	    3.000000    
    2442572.    	    3.000000    
    2442573.    	    3.000000    
    2442574.    	    4.000000    
    2442575.    	    4.000000    
    2442576.    	    4.000000    
    2442577.    	    4.000000    
    2442578.    	    4.000000    
    2442579.    	    4.000000    
    2442580.    	    4.000000    
    2442581.    	    4.000000    
    2442582.    	    4.000000    
    2442583.    	    5.000000    
    2442584.    	    5.000000    
    2442585.    	    5.000000    
    2442586.    	    5.000000    
    2442587.    	    6.000000    
    2442588.    	    6.000000    
    2442589.    	    5.000000    
    2442590.    	    6.000000    
    2442591.    	    6.000000    
    2442592.    	    7.000000    
    2442593.    	    7.000000    
    2442594.    	    7.000000    
    2442595.    	    8.000000    
    2442596.    	    8.000000    
    2442597.    	    8.000000    
    2442598.    	    8.000000    
    2442599.    	    8.000000    
    2442600.    	    8.000000    
    2442601.    	    8.000000    
    2442602.    	   1.0000000    
    2442603.    	   1.0000000    
    2442604.    	   1.0000000    
    2442605.    	   1.0000000    
    2442606.    	    2.000000    
    2442607.    	    2.000000    
    2442608.    	    2.000000    
    2442609.    	    2.000000    
    2442610.    	    2.000000    
    2442611.    	    2.000000    
    2442612.    	    2.000000    
    2442613.    	    2.000000    
    2442614.    	    2.000000    
    2442615.    	    2.000000    
    2442616.    	    2.000000    
    2442617.    	    2.000000    
    2442618.    	    2.000000    
    2442619.    	    2.000000    
    2442620.    	    3.000000    
    2442621.    	    3.000000    
    2442622.    	    4.000000    
    2442623.    	    5.000000    
    2442624.    	    5.000000    
    2442625.    	    5.000000    
    2442626.    	    5.000000    
    2442627.    	    5.000000    
    2442628.    	    5.000000    
    2442629.    	    5.000000    
    2442630.    	    5.000000    
    2442631.    	    5.000000    
    2442632.    	    5.000000    
    2442633.    	    5.000000    
    2442634.    	    5.000000    
    2442635.    	    5.000000    
    2442636.    	    5.000000    
    2442637.    	    5.000000    
    2442638.    	    5.000000    
    2442639.    	    4.000000    
    2442640.    	    4.000000    
    2442641.    	    4.000000    
    2442642.    	    4.000000    
    2442643.    	    4.000000    
    2442644.    	    4.000000    
    2442645.    	    5.000000    
    2442646.    	    6.000000    
    2442647.    	    6.000000    
    2442648.    	    8.000000    
    2442649.    	   1.0000000    
    2442650.    	   1.0000000    
    2442651.    	    2.000000    
    2442652.    	    2.000000    
    2442653.    	    2.000000    
    2442654.    	    2.000000    
    2442655.    	    2.000000    
    2442656.    	    2.000000    
    2442657.    	    3.000000    
    2442658.    	    3.000000    
    2442659.    	    3.000000    
    2442660.    	    3.000000    
    2442661.    	    3.000000    
    2442662.    	    3.000000    
    2442663.    	    3.000000    
    2442664.    	    2.000000    
    2442665.    	    2.000000    
    2442666.    	    2.000000    
    2442667.    	   1.0000000    
    2442668.    	   1.0000000    
    2442669.    	   1.0000000    
    2442670.    	   1.0000000    
    2442671.    	   1.0000000    
    2442672.    	   1.0000000    
    2442673.    	   1.0000000    
    2442674.    	    8.000000    
    2442675.    	    8.000000    
    2442676.    	   1.0000000    
    2442677.    	   1.0000000    
    2442678.    	   1.0000000    
    2442679.    	    2.000000    
    2442680.    	    2.000000    
    2442681.    	    2.000000    
    2442682.    	    3.000000    
    2442683.    	    3.000000    
    2442684.    	    4.000000    
    2442685.    	    4.000000    
    2442686.    	    5.000000    
    2442687.    	    5.000000    
