utc,tmpf,dwpf,cloud,load,ens_p10,ens_p50,ens_p90
2026-07-03 14:00:00+00:00,86.31604875045203,71.03677556643302,23.66629643129858,121589.01234335647,114384.29588823824,120982.71457731501,125994.44180616092
2026-07-03 15:00:00+00:00,88.6971675716548,70.78036757427263,25.512463778535366,129389.46642330993,120448.08776325104,129389.46642330993,134021.92467725553
2026-07-03 16:00:00+00:00,91.01328018892426,70.53499998842754,27.359243168087687,137150.4619212811,127737.11460248585,135061.15425385433,140180.07135476757
2026-07-03 17:00:00+00:00,92.97717526462156,70.28100845239179,29.20119699258646,143364.36434213896,134611.58555775209,143144.6790269593,143328.43173037277
2026-07-03 18:00:00+00:00,94.31475515436182,70.0318279297012,31.04797291697665,145483.64610991502,137418.82266686973,145439.62177626317,145483.64610991502
2026-07-03 19:00:00+00:00,94.88485990754991,70.1619994362898,32.84844688803325,147033.95114029958,139693.0447365579,147029.68194503145,147850.93563378914
2026-07-03 20:00:00+00:00,94.75373669319661,70.28488313487576,34.65494118245642,147731.26647457323,139848.00036890907,147690.0757607638,147786.62360913053
2026-07-03 21:00:00+00:00,93.86656681257344,70.42314461477378,36.44994073586475,149816.46125646704,142032.25569374667,149814.63385693083,150225.03037211177
2026-07-03 22:00:00+00:00,92.47170653698431,70.55481109356336,38.25660680830322,150213.22157034508,141922.78147905867,149825.91489777094,150953.0364613195
2026-07-03 23:00:00+00:00,90.86051941425795,70.68330556359857,40.05853933448216,149276.34348605585,141444.46562185808,149240.0485155328,149762.74563330796
2026-07-04 00:00:00+00:00,89.17111504498702,70.81357799911623,41.86302413338795,145735.74832867476,137408.73639234324,145742.2326196188,147456.30546008408
2026-07-04 01:00:00+00:00,87.27942331145586,70.7374706733532,41.225459899342255,140503.9291604197,133228.53246508702,140304.51053452078,143499.1259419809
2026-07-04 02:00:00+00:00,85.2750331618865,70.65187735974581,40.595608326504504,137844.4383776538,127752.6113702044,136935.55013595763,140037.62112702377
2026-07-04 03:00:00+00:00,83.30518125156257,70.57126612539827,39.95342975698182,131704.07751407425,121098.05878701978,128675.20052648937,134446.308240383
2026-07-04 04:00:00+00:00,81.60503229254942,70.4906204971796,39.33477292956959,118260.61082943135,110682.08778472108,117414.33454496511,125520.10401181492
2026-07-04 05:00:00+00:00,80.44250156668726,70.40871673500247,38.68417694601206,110293.50602066884,102089.3537980479,107432.32453862713,117743.60251736206
2026-07-04 06:00:00+00:00,79.76973805530999,70.32413048298785,38.06039241705225,104324.84423114019,98307.3441736913,102735.64637812303,113115.081977021
2026-07-04 07:00:00+00:00,79.35141165050366,70.37953027406289,38.371797468887785,102670.34059264848,95608.68571795782,100384.34286588275,110932.14998205163
2026-07-04 08:00:00+00:00,78.99287164030396,70.4398668724162,38.689632495951166,100723.46125722479,94004.3681107789,98140.44613894448,106170.98616529803
2026-07-04 09:00:00+00:00,78.58644804811955,70.48048162150334,39.01194226900501,100079.26601203778,91830.71908473058,97595.23685725089,104992.75766815284
2026-07-04 10:00:00+00:00,78.34435575718871,70.53021996822886,39.33287998974471,99412.9706367874,90959.10076282127,96975.82220463645,102768.03003423769
