ba_code,valid_time,MW
AZPS,2026-05-20 10:00:00,49.50710647552215
AZPS,2026-05-20 11:00:00,50.446403142122016
AZPS,2026-05-20 12:00:00,92.95010673471734
AZPS,2026-05-20 13:00:00,176.52001618768486
AZPS,2026-05-20 14:00:00,123.4007598993595
AZPS,2026-05-20 15:00:00,46.47835587667802
AZPS,2026-05-20 16:00:00,149.44197676582152
AZPS,2026-05-20 17:00:00,210.28258542077936
AZPS,2026-05-20 18:00:00,275.95851265726117
BPAT,2026-05-18 18:00:00,74.850110381557
BPAT,2026-05-18 19:00:00,108.12753840556267
BPAT,2026-05-18 20:00:00,80.87360437096007
BPAT,2026-05-18 21:00:00,95.26054809623304
BPAT,2026-05-18 22:00:00,165.86655434057872
BPAT,2026-05-18 23:00:00,285.9693710523727
BPAT,2026-05-19 00:00:00,603.7695887923127
BPAT,2026-05-19 01:00:00,1163.715325176143
BPAT,2026-05-19 02:00:00,1287.4639023583345
BPAT,2026-05-19 03:00:00,1464.5906276760338
BPAT,2026-05-19 04:00:00,1661.98840587335
BPAT,2026-05-19 05:00:00,1408.0883049674526
BPAT,2026-05-19 06:00:00,1241.5060150289469
BPAT,2026-05-19 07:00:00,1095.326534189317
BPAT,2026-05-19 08:00:00,908.0941768261146
BPAT,2026-05-19 09:00:00,686.4787849685587
BPAT,2026-05-19 10:00:00,779.3269759664902
BPAT,2026-05-19 11:00:00,974.6911497139502
BPAT,2026-05-19 12:00:00,1004.5322324832589
BPAT,2026-05-19 13:00:00,1072.903135878497
BPAT,2026-05-19 14:00:00,999.7072471365883
BPAT,2026-05-19 15:00:00,699.4582542485346
BPAT,2026-05-19 16:00:00,546.8444462336194
BPAT,2026-05-19 17:00:00,481.78975017671155
BPAT,2026-05-19 18:00:00,487.2820599247397
BPAT,2026-05-19 19:00:00,427.33406646561747
BPAT,2026-05-19 20:00:00,409.6642070817365
BPAT,2026-05-19 21:00:00,407.9060166271107
BPAT,2026-05-19 22:00:00,512.1547592838477
BPAT,2026-05-19 23:00:00,778.8232409536079
BPAT,2026-05-20 00:00:00,1122.734440931438
BPAT,2026-05-20 01:00:00,1390.094243147037
BPAT,2026-05-20 02:00:00,1466.1551015060197
BPAT,2026-05-20 03:00:00,1733.9814164685029
BPAT,2026-05-20 04:00:00,1813.5752386130328
BPAT,2026-05-20 05:00:00,1600.8754945346477
BPAT,2026-05-20 06:00:00,1158.2417070441381
BPAT,2026-05-20 07:00:00,810.0529696954783
BPAT,2026-05-20 08:00:00,550.7829723371185
BPAT,2026-05-20 09:00:00,493.0513141380283
BPAT,2026-05-20 10:00:00,537.1349155236197
BPAT,2026-05-20 11:00:00,681.8419849577895
BPAT,2026-05-20 12:00:00,643.6702348791979
BPAT,2026-05-20 13:00:00,577.5424997119487
BPAT,2026-05-20 14:00:00,429.9388126037229
