region,valid_time,forecast_MW,cycle,lead_hours,actual_MW,curtailment_MW,forecast_minus_curtail_MW,error_after_curtail_MW,error_MW
CAISO,2026-06-28 22:00:00,6416.40586880509,2026-06-28 06:00:00,16.0,4500.0,0.0,6416.40586880509,1916.40586880509,1916.40586880509
CAISO,2026-06-28 23:00:00,6427.508695494719,2026-06-28 06:00:00,17.0,4549.5,0.0,6427.508695494719,1878.0086954947192,1878.0086954947192
CAISO,2026-06-29 00:00:00,6681.569133292428,2026-06-28 12:00:00,12.0,4792.916666666667,0.0,6681.569133292428,1888.652466625761,1888.652466625761
CAISO,2026-06-29 01:00:00,7086.030693783517,2026-06-28 12:00:00,13.0,5334.666666666667,0.0,7086.030693783517,1751.3640271168497,1751.3640271168497
CAISO,2026-06-29 02:00:00,7004.587728625143,2026-06-28 12:00:00,14.0,6028.5,0.0,7004.587728625143,976.0877286251434,976.0877286251434
CAISO,2026-06-29 03:00:00,6737.62207428552,2026-06-28 12:00:00,15.0,6097.666666666667,0.0,6737.62207428552,639.9554076188533,639.9554076188533
CAISO,2026-06-29 04:00:00,6736.164818835882,2026-06-28 12:00:00,16.0,6103.75,0.0,6736.164818835882,632.4148188358822,632.4148188358822
CAISO,2026-06-29 05:00:00,6909.226191268053,2026-06-28 12:00:00,17.0,6147.5,0.0,6909.226191268053,761.7261912680533,761.7261912680533
CAISO,2026-06-29 06:00:00,7058.97193291409,2026-06-28 18:00:00,12.0,6229.833333333333,0.0,7058.97193291409,829.1385995807568,829.1385995807568
CAISO,2026-06-29 07:00:00,7211.153004606887,2026-06-28 18:00:00,13.0,6349.416666666667,0.0,7211.153004606887,861.7363379402204,861.7363379402204
CAISO,2026-06-29 08:00:00,7001.874624547403,2026-06-28 18:00:00,14.0,6280.166666666667,0.0,7001.874624547403,721.7079578807361,721.7079578807361
CAISO,2026-06-29 09:00:00,6371.983418531314,2026-06-28 18:00:00,15.0,6119.083333333333,0.0,6371.983418531314,252.90008519798084,252.90008519798084
CAISO,2026-06-29 10:00:00,6258.610700801917,2026-06-28 18:00:00,16.0,6069.0,0.0,6258.610700801917,189.61070080191712,189.61070080191712
CAISO,2026-06-29 11:00:00,6169.75482946237,2026-06-28 18:00:00,17.0,5263.083333333333,0.0,6169.75482946237,906.6714961290372,906.6714961290372
CAISO,2026-06-29 12:00:00,5981.528256414771,2026-06-29 00:00:00,12.0,4225.916666666667,0.0,5981.528256414771,1755.611589748104,1755.611589748104
CAISO,2026-06-29 13:00:00,5154.35918503582,2026-06-29 00:00:00,13.0,3538.583333333333,0.0,5154.35918503582,1615.7758517024868,1615.7758517024868
CAISO,2026-06-29 14:00:00,3796.76154556779,2026-06-29 00:00:00,14.0,2889.4166666666665,0.0,3796.76154556779,907.3448789011236,907.3448789011236
