utc,total,p10,p90,CE,DOM,AEP,ATSI,AP,PS,PL,PE,BC,PEP,REST
2026-06-26 18:00:00+00:00,118618.66516510659,115783.57004801983,121752.15367625508,11819.613871129515,21248.26328461219,19979.874740349514,8721.869465392356,6628.37665440235,6710.474877361474,5533.947431531412,5951.8225306221675,4658.711271880475,4409.035676638408,22956.675361186724
2026-06-26 19:00:00+00:00,120554.94154775148,117573.20083708056,123693.165726298,11695.021953826299,21818.169802160064,20167.284838126503,8763.780443622374,6696.275313237204,6968.443519896094,5665.602271888503,5996.056289485995,4816.66580777545,4549.991727333809,23417.649580399167
2026-06-26 20:00:00+00:00,121466.55812303445,118288.80013810162,124791.18331564378,11545.546225235425,22092.254670567076,20215.39609545937,8695.779113665372,6728.079390758421,7074.050219901047,5618.206882119801,6101.3691612376,4970.3758937171115,4690.210516191706,23735.289954181528
2026-06-26 21:00:00+00:00,121871.55334129024,118440.74162819586,125534.39913773595,11484.815963187788,22291.35486924118,20012.65958849091,8683.769708573636,6657.906967730745,7152.461931478533,5530.706101480029,6137.8702661099,5068.926453962262,4813.478600922068,24037.602890113194
2026-06-26 22:00:00+00:00,121148.74592210125,117666.37451315495,125226.53664415763,11496.972080327427,22109.07010898406,19938.499240301273,8654.607246943931,6617.001829929127,7145.497857788579,5530.648034359138,6020.93942617182,5163.489846312867,4765.737813936113,23706.282437046924
2026-06-26 23:00:00+00:00,118266.73916356539,114720.05762836093,122156.29145734044,11420.292321735526,21613.176673587306,19512.166381089708,8510.219881847357,6495.138800359465,6970.4017701417,5437.323016277796,5801.3391999511405,4958.416086020493,4580.33561051642,22967.929422038498
2026-06-27 00:00:00+00:00,115473.57296743312,111843.59678048875,119570.65244365236,11264.14436874229,21164.72002891327,19271.60441346281,8299.295192635162,6402.670448838735,6826.510797233753,5327.992778971378,5624.226487281466,4735.225334829363,4382.53303465525,22174.65008186964
2026-06-27 01:00:00+00:00,112842.67319193674,109403.74441967651,116658.52236540364,11148.676101023137,20447.98548842718,18849.649470430053,8090.761933717543,6333.114179467163,6713.028020508962,5257.412839406879,5474.582193779612,4643.515881279401,4078.9590513168646,21804.988032579946
2026-06-27 02:00:00+00:00,109778.96552664222,106397.83918138761,113500.45868736337,11200.1337040177,19780.135129807008,18339.56750358271,7986.1149206882155,6151.179703362934,6420.277456637755,5107.088230985421,5235.417575407005,4475.158144948565,3984.369182656636,21099.523974548272
2026-06-27 03:00:00+00:00,103936.32885696077,100918.7528945179,107502.09061755422,10765.746968086058,18598.50038432333,17709.259797368293,7629.16111153506,5739.546282534446,6035.286841996933,4743.163033489314,4972.532754995144,4120.656887449005,3683.272825426468,19939.201969756712
2026-06-27 04:00:00+00:00,96909.38633608702,94268.53523526384,99771.03407689922,10329.863561346863,17653.05414356713,16698.598584477866,7071.952771962297,5330.0344792022825,5656.294408830081,4265.237818732865,4564.5473598472545,3796.777742385012,3367.2219644752086,18175.803501260154
2026-06-27 05:00:00+00:00,91483.03130492935,88971.84269812403,93894.58355971979,9843.688765554176,16630.857408677664,16090.29898687243,6722.751199477332,4992.212023645175,5256.02586291695,4044.9077776460026,4337.067703563291,3451.8853536909646,3124.7748627391434,16988.561360146232
2026-06-27 06:00:00+00:00,87028.72338770368,84804.70296594602,89289.98324673889,9270.783676797291,15934.839557306084,15342.345608345588,6547.845250794129,4784.599237277848,4935.858229863792,3877.9835685462153,4104.396692823783,3197.5659812281797,2958.3623069958944,16074.14327772486
2026-06-27 07:00:00+00:00,84125.21195165966,81986.30641880137,86303.08213199806,8908.027902675269,15559.274411149354,14973.902729084428,6354.432037950318,4607.97518886683,4633.772492786117,3777.5397536921582,3915.6914008761164,3084.634056276774,2820.8990464605517,15489.062931841752
2026-06-27 08:00:00+00:00,82229.86913342979,80119.41921994968,84452.97976439414,8591.414181335434,15309.834651471177,14829.265580868947,6247.261029126116,4520.3468506175905,4533.819540321809,3680.5344556395685,3773.4888578739624,2978.6884335785076,2693.43070206375,15071.784850532933
2026-06-27 09:00:00+00:00,81802.58465000521,79770.0098932498,83929.1880225739,8439.295961639866,15395.181932928472,14647.557346154259,6259.405297554921,4519.003253574873,4485.092253988881,3698.9579018733016,3792.5945325430966,2956.586525884097,2685.6231096755705,14923.2865341879
2026-06-27 10:00:00+00:00,82232.50468441147,80188.49939705688,84375.88162282358,8407.432795267732,15480.286210438611,14845.04459347699,6321.772462721595,4529.960550371944,4429.3824974129275,3686.9859825318085,3727.51879809079,2950.794154587801,2667.9197136602847,15185.406925851003
2026-06-27 11:00:00+00:00,82818.39422811651,80825.14272139609,84890.45690555022,8561.74076901921,15653.152008605215,14731.191972869396,6352.8720866225385,4515.352778362617,4407.8998435304675,3781.336154095806,3803.8781737135,2926.1185511563854,2673.1327254158014,15411.719164725568
2026-06-27 12:00:00+00:00,84475.74488617957,82590.91407040988,86380.48977700909,8847.345281151458,15667.427151348773,14882.26191488183,6628.077582574081,4610.661293391316,4475.234029500307,4039.3990830739726,3953.561288968189,3052.7477488182585,2908.1930558514987,15410.836456619892
2026-06-27 13:00:00+00:00,89115.9584856843,87111.9175453661,91109.77363667692,9060.645698199272,16790.420945342303,15638.997031819692,6757.877685026806,4899.3603247374385,4659.277513089254,4351.38892657915,4187.695057529583,3216.707385976817,3078.98766042844,16474.60025695555
2026-06-27 14:00:00+00:00,93684.96377890147,91577.87213944051,95856.6375320452,9347.222607512733,17406.37924043984,16254.755158147147,7138.571272435278,5303.889893406709,4939.266725563624,4503.801872158495,4442.195569924555,3469.856568515203,3303.568464171442,17575.45640662642
2026-06-27 15:00:00+00:00,97477.16084314144,95112.11266353121,99885.01503757655,9832.40483378768,18291.237983675295,16771.598867444394,7375.968909626428,5643.291420005713,5228.806437836526,4641.802621438862,4589.016559142635,3679.7431480739638,3410.371733600161,18012.918328509782
2026-06-27 16:00:00+00:00,100509.05259669913,97935.49582509558,103075.90227128552,10071.849067572937,18795.844463193465,17339.17116114146,7654.215517785791,5856.361115163188,5488.369025080028,4640.592961395285,4800.445251040102,3814.4839071556953,3467.9765013494584,18579.743625821717
2026-06-27 17:00:00+00:00,103641.24505044782,100650.87701999543,106613.90656192019,10422.367282692789,19816.61750684028,17885.1940599012,7911.360601248287,5967.4028831930855,5612.063369677744,4669.718567998868,4861.767749969412,3860.1159360999495,3577.634796184994,19057.002296641218
2026-06-27 18:00:00+00:00,106384.4317298166,103144.60175055593,109671.2787731109,10752.45797214204,20258.75265549318,18447.924801529643,8020.702195472842,6100.790797435077,5546.222317754678,4820.1664335602545,4964.419496322204,3986.9281067835864,3760.5682075380228,19725.498745785073
2026-06-27 19:00:00+00:00,107919.94411966238,104490.8408760894,111500.47125201109,11319.421365460143,20702.379662818985,18548.61320010751,8063.006210127236,6097.3300020176675,5554.811268247943,4799.653053161113,4871.30330852061,4110.827564775656,3746.7724362377944,20105.826048187737
2026-06-27 20:00:00+00:00,109480.85166852982,105781.2286252199,113186.51806608871,11419.913163557752,21168.655928514367,18755.376746058522,8080.822917429982,6159.270644032687,5768.395616066882,4773.270373447196,4952.977051018035,4082.5781184181437,3744.1649100550417,20575.42619993121
2026-06-27 21:00:00+00:00,111192.76805995638,107186.7969522355,115443.79832456715,11478.016947467959,21317.71999036446,18934.20560652305,8188.498051115268,6252.996599762289,5934.824011377046,4826.125397004779,4985.118678485088,4138.678163838328,3794.385756094862,21342.198857923235
2026-06-27 22:00:00+00:00,111650.8704303028,107688.37926746137,115954.78858594084,11511.28209686292,20922.293846995024,19282.15364612115,8459.170112661586,6353.329906439626,5913.962659013461,4856.750846882842,5078.223502897571,4219.636983917102,3816.5440378982958,21237.52279061325
2026-06-27 23:00:00+00:00,110218.09077495045,106565.25458555798,114038.70204528167,11517.575283438695,20752.172215169227,18933.459438233658,8341.118669234993,6341.3722420514905,5872.954763897847,4777.297661690367,4934.259843952678,4164.7138337536335,3732.325361093136,20850.841462434735
2026-06-28 00:00:00+00:00,108741.6302386299,105079.69429083097,112540.960779325,11506.020944242557,20526.506733230653,18836.27918411584,8116.432102435185,6237.144710701825,5793.139777357141,4709.570221971006,4875.589881449235,4048.1117075455663,3737.840094174176,20354.994881406717
2026-06-28 01:00:00+00:00,107462.62865140557,103945.62220015163,111040.9981175935,11306.878122925213,20137.890892770472,18498.607222766805,8125.068689728959,6088.989096751819,5746.604559217559,4677.643167281423,4814.816629902371,4029.3469993872245,3667.01897913261,20369.76429154111
2026-06-28 02:00:00+00:00,105316.80962341315,101914.41603428453,108890.62334952175,11167.098879314932,19544.714764399076,18183.69575325041,7860.240712440796,5870.25132558812,5783.952283332925,4593.910044643047,4696.77931016339,3904.316311225712,3587.1910787624156,20124.659160292318
2026-06-28 03:00:00+00:00,100777.18710285936,97627.39579927518,104162.0018002286,11117.45801593477,18497.464191927527,17480.899955120498,7573.406615212177,5505.316635052907,5541.824662461165,4425.558538977846,4394.548147636429,3718.11861754253,3400.7548791069476,19121.83684388657
2026-06-28 04:00:00+00:00,94784.04158528186,92007.67809468029,97698.3287879025,10435.629221738809,17782.06316253133,16428.030941927733,7213.565190108679,5244.855368631994,4995.381268583848,4142.157598895076,4179.889813793159,3480.2314513523274,3172.605040183278,17709.632527535625
2026-06-28 05:00:00+00:00,88944.6766735825,86280.06683777216,91534.27402936338,10007.18341457039,16577.03217084816,15866.547677823208,6660.468687619937,4917.827055353617,4705.681734886849,3869.4584119579904,3893.6615959657543,3171.5288601564853,2935.8742968102233,16339.41276758988
2026-06-28 06:00:00+00:00,84138.30873749303,81836.63198662983,86473.40026465029,9299.989285595424,15984.936770726517,15111.4662452402,6418.385024091682,4683.939357149889,4403.3922868874515,3755.0178048189127,3658.499926856099,2984.561750717261,2782.6970534764228,15055.423231933177
2026-06-28 07:00:00+00:00,81688.95171598624,79409.5260731084,83859.10706804802,8945.263295183298,15709.207234398275,14807.859006975405,6235.672036578631,4538.773475500143,4288.9037846130805,3649.828369119757,3518.5957088430755,2867.8202599916312,2676.349014280946,14450.679530502006
2026-06-28 08:00:00+00:00,79717.20561360066,77457.93269999707,81809.60096817564,8714.408880693094,15351.066381558667,14474.195690926155,6116.48636898835,4431.380775683254,4143.960570539429,3556.141296324593,3448.8560200259303,2754.7387358488454,2561.0418119470532,14164.929081065287
2026-06-28 09:00:00+00:00,78913.75048217813,76738.50555413561,81051.25502230118,8501.828898883388,15310.24837797929,14297.774453524986,6108.259761413172,4381.49030061923,4062.6789063112547,3543.97275885702,3416.220169655868,2732.877546384575,2539.210064841193,14019.189243708151
2026-06-28 10:00:00+00:00,79055.72130528628,76824.00123165088,81203.09795004937,8467.830676731852,15229.025525543178,14418.192175982978,6095.92873661172,4425.517470229261,4049.4788188700254,3555.96351815649,3432.1123395816735,2675.204582163917,2533.2139208959106,14173.253540519267
2026-06-28 11:00:00+00:00,79083.84576072128,76891.32583118485,81225.07813721253,8585.533578324394,15390.650599495002,14251.480109479427,6101.041183538097,4362.348453284788,3943.964557814269,3608.475633180212,3506.351975795943,2682.8912911773104,2563.9955536710586,14087.112824960786
2026-06-28 12:00:00+00:00,80673.57576941494,78601.75309289101,82736.21840682921,8653.807995772382,15507.038255887397,14434.288739918436,6328.7779045961315,4431.1945155132435,3984.010376304396,3718.999184496668,3595.5733677469443,2828.059395800355,2733.4100868217683,14458.415946557217
2026-06-28 13:00:00+00:00,84917.21560766723,82616.53832425976,87197.27731022892,9065.982704726664,16179.314337091057,15371.222568559057,6470.769362838946,4764.480538409802,4033.219732895699,3986.5807892884964,3824.2829918427265,3007.3963590786116,2843.7593064272296,15370.206916508942
2026-06-28 14:00:00+00:00,89775.6089400852,87306.3328665182,92346.6414159957,9559.417329480086,17009.090790699473,16133.620778909928,6941.036173568943,5175.469153389424,4143.1141684207105,4220.025792063249,4020.1763287568256,3202.6011727069385,2983.0028960328827,16388.054356056746
2026-06-28 15:00:00+00:00,94315.34106003033,91273.94364471124,97303.08918495083,10208.560172466629,17469.52069834873,16906.093757271447,7278.089546481256,5398.341738919468,4262.883753606312,4429.166656974878,4336.874060719263,3407.884252756147,3149.9603211016693,17467.966101384536
2026-06-28 16:00:00+00:00,99781.45008137346,96128.77410765839,103245.83240084308,11324.151495033318,18258.118388570296,17814.733554464336,7695.752716483517,5569.789988692003,4641.564345794369,4516.772235537249,4538.504091502088,3523.1461039195437,3204.760702374219,18694.156459002526
2026-06-28 17:00:00+00:00,104497.0404021109,100277.86761930831,108852.25882634404,11995.512028767514,19260.599352434852,18349.367656563518,8150.2853707028335,5736.61840312768,4921.605859968565,4678.016946888626,4865.861389349867,3657.719756542676,3448.5362662684274,19432.917371496333
2026-06-28 18:00:00+00:00,109800.68897185988,105127.78019401722,114666.22142559773,13043.508648759273,19918.74102676138,19313.624781788276,8550.756763839405,6008.6106383439,5345.583421467876,4877.021143827095,4972.201121402628,3788.109782248089,3568.2851072323756,20414.246536189585
2026-06-28 19:00:00+00:00,112614.68426045714,107305.50449125298,117924.29689365895,13422.435682979924,20267.163724849685,19603.869907419452,8699.243367112254,6290.274312384242,5638.571887891863,5007.7390729973395,5183.043723949478,3989.4985469926814,3727.935428873794,20784.908605006432
2026-06-28 20:00:00+00:00,115848.23230570588,110142.52971142692,121443.89913956549,13950.522001192503,20655.011509972483,20045.17859401559,9024.839618109752,6368.450262373057,5859.049164130712,5105.132736263463,5225.56015776186,4208.250431763251,3808.007269830561,21598.230560292654
2026-06-28 21:00:00+00:00,119348.25477784825,113737.5641961831,125351.74993068469,14329.57217703412,20778.716534767453,20245.480477728706,9331.521557567936,6423.324618909095,6107.60954152752,5255.756466894523,5388.655201448003,4361.77699298962,4016.9696137691976,23108.871595212087
2026-06-28 22:00:00+00:00,120605.99556610401,115184.13566868367,126359.59362259795,14645.684322650568,20656.464347228954,20425.49782204676,9468.109554887249,6618.581524854964,6210.984302755738,5283.734146065632,5535.560700579952,4482.647165019891,4069.685005387513,23209.0466746268
2026-06-28 23:00:00+00:00,119869.74286323707,114654.88466459555,125537.70668140783,14954.370419781922,20334.866886199576,20328.53975894209,9368.33133941008,6571.649675504489,6363.294221163958,5258.621187745966,5436.514216856848,4387.4727037972025,3977.0744160272093,22889.008037807715
2026-06-29 00:00:00+00:00,118081.11347312646,113075.83282211452,123286.10685948333,14721.558742728826,20191.284732283017,20166.82921916226,9350.366126489467,6492.403845456548,6278.69487237411,5209.943914662328,5403.56996495712,4414.367826717026,3922.168670179079,21929.925558116673
2026-06-29 01:00:00+00:00,115851.59113871361,110995.7359746149,120776.75485241355,14468.802225866631,19545.040534539956,19823.37696850471,9136.264838996309,6399.815975607369,6192.550788358406,5171.190575311471,5131.295187110664,4309.867373247978,3938.4965975614555,21734.890073608665
2026-06-29 02:00:00+00:00,113516.11071673044,108831.01654896175,118265.34080361616,14400.146789914357,19135.118116468795,19718.761407884915,8890.681323714525,6289.052618468789,5986.601768950738,5010.191767585947,4995.765480823448,4190.391892126323,3735.4498893538835,21163.94966143872
2026-06-29 03:00:00+00:00,106901.0068222619,102409.33407390547,111307.15782518686,13714.36885594781,18183.94632967061,18837.24907038224,8317.193837832883,5872.5159482006065,5646.728131487776,4600.854346145514,4654.021290030716,3940.4668656103263,3445.70696390592,19687.95518304749
2026-06-29 04:00:00+00:00,100747.57122479466,96880.81341098539,105075.8144765352,13560.790772184551,17188.239993799536,17553.410673105787,7761.430248341634,5433.916879537891,5265.862835603732,4341.551149671022,4374.007323982111,3649.9804369723197,3166.385008059246,18451.995903536845
2026-06-29 05:00:00+00:00,94692.91498075998,91423.51157886081,98525.26383680262,12814.632438390094,16203.127880577435,16717.26245234714,7334.540085735138,5063.026563387896,4974.549076166617,4071.519255724153,4045.0768607646773,3288.3046410362763,2899.732460857031,17281.143265773528
2026-06-29 06:00:00+00:00,90151.11161976743,87200.4939576356,93575.24609671242,11983.083359472948,15694.427736695061,16069.778995201674,7052.154877429827,4883.8826604436745,4605.279355319186,3953.7983474481393,3835.1506806850552,3078.960849359576,2749.2939802774245,16245.300777434868
2026-06-29 07:00:00+00:00,87678.28255715236,84974.17298771143,90907.85468710343,11622.744167718392,15262.944826030469,15764.255621218574,7032.625884044691,4756.5425114479585,4470.312505383675,3822.4767708059308,3679.932308350565,2960.058865749828,2660.5284316589073,15645.86066474336
2026-06-29 08:00:00+00:00,86148.60354093416,83329.49252577005,89236.74856403239,11152.432205464087,15171.418826950745,15752.44539410637,6808.566527069577,4655.929607469892,4333.216449608149,3781.0550702258183,3603.699820386226,2889.5948896516365,2619.767197482474,15380.477552519187
2026-06-29 09:00:00+00:00,86090.28527548793,83341.87927459396,89117.25724249717,10897.218844657822,15206.34848750355,15731.958262693357,6879.084850793113,4697.372795205183,4359.69759049948,3779.8643890904004,3661.7968491676315,2849.2727408702194,2682.3908781645314,15345.279586842627
2026-06-29 10:00:00+00:00,88415.49802526977,85684.9684232017,91359.61292612292,11299.409903761858,15452.056246415,16040.231597166336,7040.020125720953,4861.323463206662,4412.080154761201,3901.065579655966,3760.505460709251,2940.4999987004335,2812.232569299892,15896.072925872242
2026-06-29 11:00:00+00:00,92844.32689031013,90192.71523998,95730.8019370751,11646.909869760466,16026.044092344517,16804.31271305642,7304.047602687321,5134.58954465465,4568.116960118507,4321.499200004095,4031.83904457788,3147.5274251544633,3061.9462609813604,16797.494176970442
2026-06-29 12:00:00+00:00,97709.69693450224,94824.2574819838,100801.11038206585,12363.187742658223,16194.042646644559,17864.195281588065,7779.479323358553,5394.981675950291,4789.922523218409,4679.632611266968,4330.843528268273,3368.924279884193,3236.3522425381975,17708.135079126496
2026-06-29 13:00:00+00:00,102271.14616454708,98934.3006743685,105837.3571625953,13067.810958243945,16770.42946258409,18387.54955555327,8288.614098171993,5637.246094734506,5056.3217663266005,4908.53594146242,4659.6920855113995,3517.4653072801675,3457.650235411397,18519.83065926729
2026-06-29 14:00:00+00:00,107700.94771662212,104097.31832551309,111770.45740115223,14354.918123011561,17166.692958529242,19355.225499349643,8748.948708449005,5922.499016959805,5272.727533192789,5093.253898625938,4899.412777476321,3582.4650346016397,3621.849426505683,19682.954739920497
2026-06-29 15:00:00+00:00,113531.0694368952,109505.6508749463,118141.25065315263,15389.197349312133,17902.252633101944,20386.046006037006,9271.171699005692,6258.762448806119,5512.171418107338,5254.320424485395,5139.461458799938,3777.297367248152,3726.2820470062575,20914.106584985213
2026-06-29 16:00:00+00:00,121357.55292981013,116523.77303459714,126624.80124796818,16981.226811925622,18846.684613966758,21593.21474783004,10035.721419526059,6667.983284402228,5961.740889126359,5452.010048943007,5395.459508976537,4002.3055872629357,3843.9286334156423,22577.27738443494
2026-06-29 17:00:00+00:00,127837.19898863525,122651.6665744454,133412.89565603447,17698.117700534614,19776.2212384494,22812.120658731117,10700.532424675484,7014.81657242618,6322.418928696003,5580.4244706574,5739.942777245105,4192.103571721731,4077.0662913824704,23923.434354115758
2026-06-29 18:00:00+00:00,134024.8518302229,128826.16067892146,139203.92870711267,18884.194966150328,20470.235175307596,24036.315639170043,11175.190530154643,7321.153532355562,6614.59144326075,5860.67674691912,5930.919765167088,4366.976095836257,4222.993417778716,25141.604518122793
2026-06-29 19:00:00+00:00,137435.44859030913,132410.28624523408,142289.75980792323,19667.45523388819,20904.961692985442,24139.818878247665,11574.666985465521,7451.28944004596,6873.2097811608455,6029.189519966744,6042.20190049264,4614.329057068616,4349.8794829985745,25788.446617988917
2026-06-29 20:00:00+00:00,140524.16156648012,135487.73034138104,145071.1810689425,20199.293173350587,21412.791995041207,24340.186207367893,11699.788451969533,7688.4082767791615,7186.558662350149,6069.176110999091,6245.8168119004,4783.121335703295,4468.557283513158,26430.463257505653
2026-06-29 21:00:00+00:00,141678.48218293418,136647.84270518625,146235.54662350626,20630.568132856588,21704.55954555707,24192.435489795567,11716.418824849872,7684.221657038901,7398.631221494945,6145.23430474711,6320.829444410566,4895.176449676835,4544.13527724426,26446.27183526247
2026-06-29 22:00:00+00:00,141698.1312224025,137129.34772170923,146403.5779231444,20818.18887233269,21473.549012541935,24113.27772587768,11826.393289323923,7685.099570144049,7411.140768390917,6055.745840086389,6364.33972435648,5021.110071150704,4550.4295887146845,26378.856759483053
2026-06-29 23:00:00+00:00,139943.70518092287,135119.3374891052,144671.53761665607,20562.1241522786,21198.398390604114,24094.87146943226,11703.946897673908,7470.139424145431,7334.281201212126,5994.048980092093,6183.167851635744,4971.6468358501215,4439.809576805142,25991.270401193346
2026-06-30 00:00:00+00:00,137724.27793078567,132911.8387724339,142523.76125898657,20459.485655612803,20880.45943186592,23723.594339259365,11574.527079410178,7282.987651161438,7111.184828334991,5860.456778186216,5980.003665819804,4863.881470185991,4287.85446748348,25699.84256346546
2026-06-30 01:00:00+00:00,134773.0764171143,130079.41925433242,139553.64132649646,20093.059657488513,20428.601054237366,23167.366474928975,11373.368092016806,7214.103485793337,6918.904225197307,5758.637984180565,5688.8799655833,4645.9019216862325,4078.3477159984636,25405.905840003437
2026-06-30 02:00:00+00:00,130694.62692399841,125900.0470100663,135582.770466312,19765.65863989415,19806.546854867323,22828.32603462073,10918.637737627518,7045.477557018932,6581.5626150341395,5559.967920716485,5464.070613220071,4517.0835730356175,3956.770705522103,24250.524672441326
2026-06-30 03:00:00+00:00,121903.08089467818,117635.5331677276,126703.40843887819,18886.394134169794,18728.95697460593,21442.784631251896,10332.479580851712,6488.157195145536,6052.246277882405,5267.709561811771,5002.946005836762,4050.077518392623,3526.6303025913558,22124.698712138397
2026-06-30 04:00:00+00:00,112666.29919858056,107539.4063088304,117682.90953667255,17455.539114165644,17486.06511785395,20151.166147498163,9530.320277569348,5826.2490412675315,5655.679624305762,4815.674995999039,4606.829856013349,3797.8911629285662,3291.7277967818786,20049.15606419732
