utc,load,ens_p10,ens_p50,ens_p90,q10,q50,q90
2026-07-06 13:50:00+00:00,110998.4024857656,98565.89168389596,106358.12049217883,117827.33287763456,106337.50926513715,109796.2762423637,114277.63609973871
2026-07-06 13:55:00+00:00,111498.91673657914,98911.2954239974,106709.35420360963,118286.85800318571,106764.8689857484,110152.0145944302,114582.11828437154
2026-07-06 14:00:00+00:00,111963.26998541651,99266.08935543052,107077.53826231019,118718.66231001257,107181.2330389084,110515.30823615077,114866.44629401923
2026-07-06 14:05:00+00:00,112395.00675268268,99643.58882204433,107468.52389712213,119122.23645832366,107588.56727388572,110887.00023047246,115124.28954865597
2026-07-06 14:10:00+00:00,112805.78575256345,100052.93953671178,107883.7425181299,119504.78364007255,107992.36835765364,111266.32975471305,115355.22226744317
2026-07-06 14:15:00+00:00,113199.62839598523,100487.95035631859,108319.24971303575,119871.20735648696,108394.04290807788,111652.16636376068,115565.5318251589
2026-07-06 14:20:00+00:00,113580.55609387429,100942.43013775036,108771.10106954181,120226.41110879464,108794.99754302422,112043.3796125036,115761.50559658128
2026-07-06 14:25:00+00:00,113952.59025715705,101410.18773789275,109235.35217535023,120575.2983982233,109196.63888035835,112438.83905582999,115949.43095648832
2026-07-06 14:30:00+00:00,114319.75229675979,101885.03201363138,109708.05861816322,120922.77272600066,109600.37353794604,112837.41424862809,116135.59527965808
2026-07-06 14:35:00+00:00,114686.06362360892,102360.77182185194,110185.2759856829,121273.73759335451,110007.60813365305,113237.9747457861,116326.28594086868
2026-07-06 14:40:00+00:00,115055.54564863072,102831.21601944008,110663.0598656115,121633.09650151253,110419.74928534507,113639.39010219219,116527.79031489813
2026-07-06 14:45:00+00:00,115432.21978275158,103290.17346328139,111137.46584565117,122005.75295170247,110838.20361088784,114040.52987273461,116746.39577652454
2026-07-06 14:50:00+00:00,115820.1074368978,103731.45301026158,111604.54951350403,122396.61044515205,111264.37772814714,114440.26361230157,116988.38970052596
2026-07-06 14:55:00+00:00,116223.23002199577,104148.86351726629,112060.36645687229,122810.572483089,111699.6782549887,114837.46087578125,117260.05946168043
2026-07-06 15:00:00+00:00,116645.60894897181,104536.21384118113,112500.9722634581,123252.54256674106,112145.51180927824,115230.99121806188,117567.69243476607
2026-07-06 15:05:00+00:00,117094.55673613901,104893.52953727206,112930.71704963756,123734.8773317747,112607.59790547127,115622.02061527682,117953.42144912572
2026-07-06 15:10:00+00:00,117570.66500914992,105228.14742858378,113356.72478556285,124261.38528033838,113088.27313244711,116012.52468498712,118442.408171959
2026-07-06 15:15:00+00:00,118067.87383994008,105544.84327367017,113779.21183960035,124824.1477133828,113583.86971970722,116402.58744422246,119015.48323482918
2026-07-06 15:20:00+00:00,118580.12330044506,105848.392831085,114198.39458011642,125415.24593185874,114090.71989675304,116792.29291001255,119653.47726929946
2026-07-06 15:25:00+00:00,119101.35346260044,106143.57185938211,114614.48937547741,126026.7612367169,114605.15589308606,117181.72509938711,120337.22090693306
2026-07-06 15:30:00+00:00,119625.50439834176,106435.15611711536,115027.71259404968,126650.77492890801,115123.50993820772,117570.96802937586,121047.5447792932
2026-07-06 15:35:00+00:00,120146.51617960456,106727.92136283855,115438.28060419958,127279.3683093828,115642.11426161948,117960.1057170085,121765.2795179431
2026-07-06 15:40:00+00:00,120658.3288783244,107026.64335510552,115846.40977429348,127904.622679092,116157.30109282282,118349.22217931472,122471.25575444599
2026-07-06 15:45:00+00:00,121154.88256643689,107336.09785247009,116252.31647269774,128518.61933898633,116665.4026613192,118738.40143332422,123146.30412036508
2026-07-06 15:50:00+00:00,121630.11731587753,107661.06061348613,116656.21706777874,129113.43959001653,117162.75119661004,119127.72749606674,123771.2552472636
2026-07-06 15:55:00+00:00,122077.9731985819,108006.30739670742,117058.3279279028,129681.16473313331,117645.67892819684,119517.28438457198,124326.93976670477
2026-07-06 16:00:00+00:00,122492.39028648553,108376.61396068778,117458.86542143632,130213.87606928742,118110.51808558106,119907.15611586961,124794.18831025182
2026-07-06 16:05:00+00:00,122872.50624179194,108780.96750843454,117855.87093888436,130720.40590896094,118557.25935864275,120295.36029646323,125190.23808659741
2026-07-06 16:10:00+00:00,123225.26084947267,109220.86034420351,118247.88732267315,131215.44034052998,118990.10101112761,120680.54377037428,125549.61947621708
2026-07-06 16:15:00+00:00,123556.29736561542,109689.82587842135,118635.88311905068,131699.84133178648,119411.6866333353,121063.73441090935,125879.10286834827
2026-07-06 16:20:00+00:00,123871.25904630788,110181.39752151472,119020.82687426497,132174.4708505222,119824.65981556561,121445.960091375,126185.45865222847
2026-07-06 16:25:00+00:00,124175.78914763771,110689.10868391032,119403.68713456405,132640.19086452902,120231.66414811827,121828.24868507781,126475.45721709516
2026-07-06 16:30:00+00:00,124475.53092569261,111206.49277603476,119785.43244619596,133097.8633415988,120635.34322129303,122211.62806532434,126755.86895218585
2026-07-06 16:35:00+00:00,124776.12763656028,111727.08320831471,120167.03135540869,133548.35024952336,121038.34062538965,122597.12610542118,127033.46424673796
2026-07-06 16:40:00+00:00,125083.22253632841,112244.41339117687,120549.45240845025,133992.51355609458,121443.29995070786,122985.7706786749,127315.013489989
2026-07-06 16:45:00+00:00,125402.45888108466,112752.01673504787,120933.66415156868,134431.21522910421,121852.86478754741,123378.58965839205,127607.28707117643
2026-07-06 16:50:00+00:00,125739.47992691676,113243.42665035438,121320.63513101201,134865.31723634424,122269.67872620805,123776.61091787924,127917.05537953772
2026-07-06 16:55:00+00:00,126099.92892991235,113712.17654752303,121711.3338930282,135295.6815456064,122696.38535698951,124180.86233044302,128251.08880431038
2026-07-06 17:00:00+00:00,126489.44914615915,114151.79983698054,122106.72898386534,135723.1701246826,123135.62827019158,124592.37176938997,128616.15773473185
2026-07-06 17:05:00+00:00,126929.6418814303,114576.06911460424,122509.89163109328,136153.04161765348,123603.75107176807,125021.67775352538,129027.46399581278
2026-07-06 17:10:00+00:00,127429.33304938284,115001.18575377976,122921.73823459393,136587.83442013062,124108.38864136183,125474.46934940059,129488.28293761436
2026-07-06 17:15:00+00:00,127975.00281793032,115424.32633119615,123340.00509908324,137024.330127202,124639.1214798062,125944.50025194122,129987.49523694995
2026-07-06 17:20:00+00:00,128553.13135498627,115842.66742354247,123762.42852927718,137459.31033395563,125185.53008793443,126425.5241560729,130513.98157063284
2026-07-06 17:25:00+00:00,129150.1988284642,116253.38560750776,124186.74482989177,137889.55663547956,125737.1949665798,126911.29475672128,131056.62261547642
2026-07-06 17:30:00+00:00,129752.68540627771,116653.65745978107,124610.69030564297,138311.85062686185,126283.69661657562,127395.56574881198,131604.299048294
2026-07-06 17:35:00+00:00,130347.07125634032,117040.65955705143,125032.00126124677,138722.9739031905,126814.61553875513,127872.0908272706,132145.8915458989
2026-07-06 17:40:00+00:00,130919.83654656554,117411.56847600795,125448.41400141912,139119.70805955355,127319.53223395163,128334.62368702282,132670.28078510443
2026-07-06 17:45:00+00:00,131457.46144486693,117763.56079333962,125857.66483087602,139498.83469103905,127788.02720299839,128776.9180229942,133166.347442724
2026-07-06 17:50:00+00:00,131946.42611915807,118093.81308573553,126257.49005433344,139857.13539273498,128209.68094672872,129192.72753011044,133622.97219557094
2026-07-06 17:55:00+00:00,132373.21073735243,118399.50192988472,126645.62597650735,140191.39175972945,128574.07396597587,129575.80590329712,134029.03572045852
2026-07-06 18:00:00+00:00,132724.2954673636,118677.80390247623,127019.80890211377,140498.38538711044,128870.78676157312,129919.90683747991,134373.4186942001
2026-07-06 18:05:00+00:00,133035.56528207287,118937.44700986335,127393.51780199508,140791.48655451764,129121.18098339388,130237.80561989808,134687.78859003796
2026-07-06 18:10:00+00:00,133348.2935961165,119188.65671229543,127778.04706550077,141084.0578281763,129354.37282633295,130546.02674534984,135007.12141444985
2026-07-06 18:15:00+00:00,133657.04324004063,119430.85576730558,128167.8561251075,141372.86923305283,129571.57460875584,130843.94772009927,135325.26064410261
2026-07-06 18:20:00+00:00,133956.37704439124,119663.46693242692,128557.40441329186,141654.6907941136,129773.99864902804,131130.94605041036,135636.04975566288
2026-07-06 18:25:00+00:00,134240.85783971436,119885.91296519263,128941.15136253052,141926.29253632503,129962.857265515,131406.3992425471,135933.33222579752
2026-07-06 18:30:00+00:00,134505.0484565561,120097.6166231358,129313.55640530006,142184.44448465353,130139.36277658226,131669.6848027736,136210.95153117322
2026-07-06 18:35:00+00:00,134743.51172546254,120298.00066378956,129669.07897407714,142425.91666406541,130304.72750059524,131920.1802373538,136462.75114845668
2026-07-06 18:40:00+00:00,134950.81047697962,120486.48784468707,130002.17850133836,142647.47909952718,130460.16375591945,132157.26305255183,136682.5745543147
2026-07-06 18:45:00+00:00,135121.50754165355,120662.50092336141,130307.3144195604,142845.9018160052,130606.88386092038,132380.31075463162,136864.26522541404
2026-07-06 18:50:00+00:00,135250.16575003025,120825.46265734575,130578.9461612198,143017.9548384658,130746.10013396353,132588.7008498572,137001.66663842136
2026-07-06 18:55:00+00:00,135331.34793265583,120974.7958041732,130811.53315879327,143160.40819187547,130879.0248934143,132781.81084449263,137088.6222700035
2026-07-06 19:00:00+00:00,135359.61692007637,121109.92312137688,130999.5348447574,143270.03190120053,131006.87045763829,132959.0182448019,137118.97559682716
2026-07-06 19:05:00+00:00,135347.7681744201,121232.15300355195,131154.4796608312,143357.140984068,131129.6601170875,133121.54999726903,137114.25840719568
2026-07-06 19:10:00+00:00,135315.0098776057,121344.17110700207,131293.16427289916,143434.98220834785,131246.80588907015,133272.1395179475,137101.2167652734
2026-07-06 19:15:00+00:00,135265.52393986483,121447.46608182302,131417.9504496861,143504.72322437086,131358.60318223597,133412.42401745584,137081.51556151843
2026-07-06 19:20:00+00:00,135203.49227142904,121543.52657811069,131531.1999599169,143567.5316824679,131465.34740523458,133544.04070641237,137056.81968638898
2026-07-06 19:25:00+00:00,135133.09678253002,121633.84124596092,131635.27457231632,143624.5752329699,131567.3339667157,133668.62679543553,137028.79403034318
2026-07-06 19:30:00+00:00,135058.51938339937,121719.89873546956,131732.53605560926,143677.0215262076,131664.85827532902,133787.81949514378,136999.10348383922
2026-07-06 19:35:00+00:00,134983.94198426875,121803.18769673244,131825.34617852053,143726.03821251186,131758.2157397242,133903.25601615547,136969.41293733523
2026-07-06 19:40:00+00:00,134913.54649536972,121885.19677984543,131916.06670977498,143772.79294221356,131847.70176855093,134016.57356908906,136941.38728128947
2026-07-06 19:45:00+00:00,134851.51482693394,121967.41463490434,132007.05941809743,143818.45336564354,131933.61177045887,134129.40936456295,136916.69140615998
2026-07-06 19:50:00+00:00,134802.02888919305,122051.32991200508,132100.68607221276,143864.18713313265,132016.24115409775,134243.40061319552,136896.99020240502
2026-07-06 19:55:00+00:00,134769.27059237866,122138.43126124344,132199.30844084572,143911.16189501173,132095.8853281172,134360.1845256052,136883.94856048274
2026-07-06 20:00:00+00:00,134757.4218467224,122230.20733271528,132305.28829272123,143960.5453016116,132172.83970116693,134481.39831241049,136879.23137085125
2026-07-06 20:05:00+00:00,134786.68248178,122332.34791300267,132424.56831242322,144014.18360101854,132251.09755161003,134614.19096230972,136898.0338099374
2026-07-06 20:10:00+00:00,134867.91581704232,122446.85082594446,132558.35524137726,144072.01863292363,132333.1130055529,134761.3296863592,136950.0170238814
2026-07-06 20:15:00+00:00,134991.2989976437,122569.66677752165,132701.90693357063,144132.3614350649,132416.8727432604,134917.8790287144,137028.54485771176
2026-07-06 20:20:00+00:00,135147.0091687184,122696.74647371522,132850.48124299065,144193.5230451805,132500.36344499732,135078.9035335306,137126.98115645684
2026-07-06 20:25:00+00:00,135325.2234754007,122824.04062050622,132999.33602362458,144253.81450100854,132581.5717910284,135239.4677449631,137238.6897651451
2026-07-06 20:30:00+00:00,135516.11906282502,122947.49992387558,133143.72912945968,144311.54684028705,132658.48446161844,135394.63620716732,137357.0345288049
2026-07-06 20:35:00+00:00,135709.87307612554,123063.07508980436,133278.91841448328,144365.0311007541,132729.0881370323,135539.47346429847,137475.37929246473
2026-07-06 20:40:00+00:00,135896.66266043665,123166.71682427355,133400.1617326826,144412.57832014785,132791.3694975347,135669.04406051204,137587.08790115296
2026-07-06 20:45:00+00:00,136066.66496089258,123254.37583326412,133502.716938045,144452.49953620625,132843.31522339044,135778.4125399633,137685.52419989803
2026-07-06 20:50:00+00:00,136210.05712262768,123322.00282275712,133581.84188455762,144483.10578666753,132882.91199486432,135862.64344680757,137764.0520337284
2026-07-06 20:55:00+00:00,136317.01629077623,123365.5484987335,133632.79442620793,144502.70810926968,132908.14649222113,135916.8013252002,137816.03524767244
2026-07-06 21:00:00+00:00,136377.71961047256,123380.96356717429,133650.83241698306,144509.61754175083,132917.0053957257,135935.95071929658,137834.83768675858
2026-07-06 21:05:00+00:00,136411.18069595282,123366.40248208496,133639.21598571233,144497.7455862746,132904.05173603716,135931.3641769683,137828.9025995968
2026-07-06 21:10:00+00:00,136442.82309891575,123324.92614666506,133605.7790990791,144463.92904116964,132867.27043028147,135917.96336164128,137811.97100712845
2026-07-06 21:15:00+00:00,136472.43887068963,123259.84494068664,133552.64036785188,144410.86688842156,132809.7809884235,135896.28649080257,137785.35341287905
2026-07-06 21:20:00+00:00,136499.8200626026,123174.46924392179,133481.91840279909,144341.25811001594,132734.70292042807,135866.87178193906,137750.36032037396
2026-07-06 21:25:00+00:00,136524.75872598295,123072.10943614258,133395.73181468915,144257.80168793845,132645.15573626006,135830.2574525377,137708.30223313876
2026-07-06 21:30:00+00:00,136547.04691215875,122956.07589712112,133296.1992142906,144163.1966041746,132544.25894588436,135786.98172008546,137660.48965469885
2026-07-06 21:35:00+00:00,136566.47667245835,122829.67900662943,133185.43921237192,144060.14184071004,132435.13205926574,135737.5828020693,137608.23308857973
2026-07-06 21:40:00+00:00,136582.84005820996,122696.22914443964,133065.57041970146,143951.33637953037,132320.89458636913,135682.59891597604,137552.84303830686
2026-07-06 21:45:00+00:00,136595.9291207417,122559.0366903238,132938.71144704777,143839.4792026212,132204.6660371594,135622.56827929275,137495.6300074057
2026-07-06 21:50:00+00:00,136605.5359113818,122421.41202405402,132806.98090517928,143727.2692919681,132089.56592160132,135558.02910950631,137437.90449940175
2026-07-06 21:55:00+00:00,136611.45248145852,122286.66552540234,132672.4974048645,143617.40562955674,131978.7137496598,135489.5196241037,137380.97701782043
2026-07-06 22:00:00+00:00,136613.47088230005,122158.10757414084,132537.37955687183,143512.58719737266,131875.2290312997,135417.57804057185,137326.15806618726
2026-07-06 22:05:00+00:00,136590.522514178,122032.66698344852,132388.2802009919,143410.68863042124,131778.8898117592,135320.6086163668,137272.73314209047
2026-07-06 22:10:00+00:00,136524.67649948358,121904.39338060883,132212.29779467653,143307.0993934724,131686.03621479342,135179.9794322504,137218.5873889004
2026-07-06 22:15:00+00:00,136420.43147272427,121772.27836655051,132012.2193751863,143200.7907131585,131594.63086814285,135000.67444066823,137162.9307788153
2026-07-06 22:20:00+00:00,136282.2860684076,121635.31354220236,131790.83197978165,143090.73381611196,131502.63639954786,134787.67759406602,137104.97328403368
2026-07-06 22:25:00+00:00,136114.73892104105,121492.49050849312,131550.92264572295,142975.89992896514,131408.01543674883,134545.97284488927,137043.92487675388
2026-07-06 22:30:00+00:00,135922.28866513213,121342.80086635155,131295.27841027075,142855.26027835047,131308.73060748618,134280.54414558373,136978.9955291743
2026-07-06 22:35:00+00:00,135709.4339351884,121185.23621670641,131026.68631068549,142727.7860909004,131202.74453950033,133996.37544859495,136909.39521349335
2026-07-06 22:40:00+00:00,135480.67336571735,121018.7881604865,130747.93338422761,142592.4485932472,131088.01986053167,133698.45070636857,136834.3339019094
2026-07-06 22:45:00+00:00,135240.50559122645,120842.44829862053,130461.80666815759,142448.21901202336,130962.5191983206,133391.75387135023,136753.02156662094
2026-07-06 22:50:00+00:00,134993.42924622324,120655.20823203732,130171.09319973593,142294.0685738612,130824.20518060753,133081.26889598553,136664.66817982623
2026-07-06 22:55:00+00:00,134743.94296521528,120456.05956166559,129878.58001622303,142128.9685053932,130671.04043513288,132771.97973272015,136568.48371372372
2026-07-06 23:00:00+00:00,134496.54538271,120243.99388843414,129587.05415487936,141951.89003325172,130500.987589637,132468.87033399966,136463.67814051185
2026-07-06 23:05:00+00:00,134228.41040714143,120002.04365035857,129286.9948857717,141752.64009828246,130283.95018885226,132156.60718144343,136341.60750507977
2026-07-06 23:10:00+00:00,133917.47517040113,119718.37989958284,128968.71476006425,141523.60545925546,129997.91759953597,131819.12606516434,136195.15224214102
2026-07-06 23:15:00+00:00,133569.3831421828,119399.70215822826,128634.75073666379,141267.6270696895,129652.98118246609,131460.31490034817,136025.80890863034
2026-07-06 23:20:00+00:00,133189.77779218022,119052.70994841622,128287.63977447693,140987.54588310348,129259.23229842058,131084.06160218085,135835.0740614825
2026-07-06 23:25:00+00:00,132784.30259008714,118684.10279226796,127929.9188324104,140686.20285301615,128826.76230817739,130694.25408584818,135624.4442576323
2026-07-06 23:30:00+00:00,132358.60100559736,118300.58021190485,127564.12486937096,140366.43893294642,128365.66257251448,130294.78026653607,135395.41605401452
2026-07-06 23:35:00+00:00,131918.3165084046,117908.84172944816,127192.79484426524,140031.09507641304,127886.02445220982,129889.52805943033,135149.48600756392
2026-07-06 23:40:00+00:00,131469.0925682026,117515.58686701926,126818.46571599996,139683.01223693488,127397.93930804137,129482.38537971684,134888.15067521526
2026-07-06 23:45:00+00:00,131016.57265468517,117127.51514673945,126443.67444348185,139325.0313680308,126911.49850078709,129077.24014258143,134612.90661390338
2026-07-06 23:50:00+00:00,130566.40023754604,116751.32609073004,126070.95798561757,138959.99342321954,126436.79339122494,128677.98026321,134325.25038056297
2026-07-06 23:55:00+00:00,130124.21878647897,116393.71922111235,125702.85330131384,138590.73935602,125983.91534013287,128288.49365678837,134026.6785321289
2026-07-07 00:00:00+00:00,129695.67177117775,116061.3940600077,125341.89734947737,138220.11011995102,125562.95570828882,127912.6682385024,133718.68762553588
2026-07-07 00:05:00+00:00,129263.29336811049,115750.52001695817,124982.78924598913,137833.2763504154,125157.33087433016,127542.98508712895,133366.75951466753
2026-07-07 00:10:00+00:00,128809.75012479615,115451.19648264053,124619.38678178567,137416.85235281294,124745.46486713152,127170.39584723153,132944.3905581616
2026-07-07 00:15:00+00:00,128340.88406750452,115161.0179508782,124252.96492835705,136975.84458565785,124329.96052282678,126796.49428267598,132465.09907008405
2026-07-07 00:20:00+00:00,127862.53722250542,114877.5789154946,123884.79865719329,136515.25950746433,123913.42067754988,126422.87415732817,131942.40336450085
2026-07-07 00:25:00+00:00,127380.5516160687,114598.47387031312,123516.16293978444,136040.1035767466,123498.4481674347,126051.12923505392,131389.82175547793
2026-07-07 00:30:00+00:00,126900.76927446417,114321.2973091572,123148.33274762054,135555.38325201883,123087.64582861516,125682.8532797191,130820.87255708121
2026-07-07 00:35:00+00:00,126429.03222396168,114043.64372585026,122782.58305219167,135066.1049917952,122683.61649722514,125319.64005518958,130249.07408337676
2026-07-07 00:40:00+00:00,125971.18249083104,113763.10761421565,122420.18882498785,134577.27525459,122288.9630093986,124963.08332533119,129687.9446484305
2026-07-07 00:45:00+00:00,125533.06210134206,113477.28346807684,122062.42503749912,134093.90049891738,121906.28820126939,124614.77685400977,129151.00256630837
2026-07-07 00:50:00+00:00,125120.51308176463,113183.76578125726,121710.56666121552,133620.98718329158,121538.19490897145,124276.3144050912,128651.76615107636
2026-07-07 00:55:00+00:00,124739.3774583685,112880.14904758026,121365.88866762709,133163.5417662268,121187.28596863867,123949.2897424413,128203.75371680042
2026-07-07 01:00:00+00:00,124395.49725742357,112564.0277608693,121029.6660282239,132726.57070623714,120856.16421640494,123635.29662992596,127820.48357754653
2026-07-07 01:05:00+00:00,124089.84262821352,112240.00583665831,120709.24183497259,132312.02910973752,120551.90907884149,123342.0946616705,127495.64001684247
2026-07-07 01:10:00+00:00,123815.1414272237,111913.4023168979,120407.77724948565,131915.56718810066,120275.51162812776,123072.51727746028,127208.45175451486
