case_id,ylat,xlong,iy,ix,grid_lat,grid_lon
403960,37.5719,-106.0998,507,647,37.5858,253.90334
406693,42.8981,-77.4595,751,1441,42.883804,282.54813
406703,42.259,-72.0174,765,1591,42.260445,287.9884
405819,39.5631,-77.1618,632,1476,39.549072,282.84396
406738,45.4927,-92.8663,792,1020,45.492996,267.1163
407471,41.6792,-70.8948,753,1627,41.679394,289.119
407510,41.6635,-70.3998,756,1640,41.65604,289.59906
407362,36.3614,-119.392,527,251,36.353134,240.59633
400004,27.7858,-82.3903,171,1401,27.78543,277.6161
406516,29.1121,-96.5242,180,931,29.11808,263.47025
407459,34.0609,-93.0839,368,1035,34.07018,266.91248
406601,40.3363,-104.8843,606,691,40.3492,255.12668
406611,42.012,-73.3466,746,1558,42.00407,286.64984
407374,34.4431,-84.7094,406,1290,34.44807,275.296
407534,42.4641,-88.2797,689,1151,42.470646,271.7034
407077,42.4666,-88.5981,688,1143,42.465015,271.40933
407078,41.3902,-87.5958,651,1174,41.388706,272.38904
407079,38.5803,-89.6896,542,1125,38.589527,270.3039
407080,38.578,-89.6998,542,1125,38.589527,270.3039
407092,39.5597,-89.2712,579,1134,39.56278,270.72733
407519,38.5049,-89.1471,540,1141,38.49795,270.84763
407469,38.1792,-88.1707,531,1171,38.17859,271.84503
407470,39.9801,-90.4812,592,1098,39.99248,269.50592
407088,41.7744,-89.7869,659,1113,41.760307,270.22995
405017,42.4521,-70.9682,780,1617,42.452953,289.05026
406610,42.4254,-72.5185,767,1576,42.42159,287.48227
407405,42.1582,-73.2894,752,1558,42.16008,286.7064
407409,42.1623,-72.8513,755,1570,42.153267,287.15552
407095,39.16,-76.7862,620,1490,39.149822,283.22763
406585,44.1823,-70.5098,845,1610,44.180737,289.49118
407182,44.2814,-70.5253,848,1609,44.26558,289.48782
407331,44.3474,-70.1306,854,1618,44.349327,289.87622
407287,45.0861,-94.1821,775,987,45.076252,265.8333
407366,35.742,-80.2924,475,1414,35.74046,279.69223
406434,40.5294,-74.3882,686,1544,40.536106,285.61804
407576,39.9078,-74.23,665,1554,39.920464,285.77515
407577,39.9065,-74.2275,664,1554,39.89435,285.76633
406606,44.3488,-75.4855,816,1480,44.347614,284.50427
407063,42.6594,-76.9278,746,1457,42.65832,283.08017
407074,41.4073,-74.5852,716,1530,41.412914,285.39874
407090,43.0691,-75.9445,767,1479,43.074245,284.04132
407185,42.7937,-77.5264,747,1440,42.784542,282.48065
407304,42.9782,-77.8749,752,1429,42.979103,282.12537
407311,43.5241,-76.1586,782,1470,43.522434,283.8458
407384,43.2732,-73.5225,790,1541,43.265945,286.46506
407385,43.2778,-73.523,791,1541,43.291924,286.47458
407387,44.6162,-75.4463,826,1479,44.6146,284.5569
407506,43.8641,-73.4478,812,1538,43.857887,286.56805
407508,43.8522,-73.4488,812,1538,43.857887,286.56805
407520,43.8974,-73.4229,813,1538,43.88383,286.5777
407443,34.6827,-96.7692,388,921,34.693733,263.21463
406597,36.9772,-82.5241,509,1341,36.98546,277.4834
407472,36.5945,-77.6715,522,1485,36.599632,282.32892
407494,34.2158,-118.5004,443,259,34.20153,241.49342
407345,45.0202,-123.0981,865,233,45.032898,236.91057
407289,44.036,-117.0036,790,381,44.043343,242.99968
406623,33.9304,-93.857,362,1012,33.936066,266.15842
406575,41.9782,-72.5391,751,1580,41.977745,287.46646
406912,32.9959,-82.7326,362,1358,33.005573,277.2576
406933,30.8679,-84.4248,275,1317,30.865469,275.5635
406503,31.4937,-83.4965,303,1343,31.504908,276.49652
407139,43.2745,-91.941,711,1050,43.278496,268.07272
407087,42.3886,-89.4835,683,1119,42.39034,270.52118
407093,40.9354,-88.6412,631,1147,40.926468,271.35486
407167,41.7674,-89.8587,659,1111,41.764805,270.15796
407140,41.9944,-90.1131,667,1103,41.997128,269.8932
407234,41.2599,-89.2133,642,1130,41.264244,270.7861
407152,42.2327,-89.0272,678,1132,42.224968,270.9762
406428,46.7734,-67.8521,958,1647,46.76397,292.14407
407143,46.6368,-68.3903,949,1635,46.636345,291.59073
406454,43.9916,-84.5194,757,1246,43.97871,275.48502
406990,42.3904,-84.4891,699,1255,42.40082,275.51254
406420,40.6632,-74.1678,692,1549,40.65908,285.84317
406432,40.7388,-74.138,695,1549,40.737366,285.86993
407243,43.8688,-73.4342,812,1538,43.857887,286.56805
406408,37.9585,-76.819,577,1499,37.964832,283.19925
406400,45.4784,-92.3692,792,1033,45.474613,267.612
406913,35.0487,-119.1808,478,246,35.038006,240.81645
407233,41.2621,-89.2134,642,1130,41.264244,270.7861
406980,27.6637,-82.2822,167,1405,27.663368,277.71466
406916,42.2976,-84.7507,694,1248,42.293823,275.2347
406473,36.5361,-77.7661,519,1483,36.53211,282.24182
406915,31.0289,-102.4841,256,740,31.0367,257.5269
406914,35.1991,-106.8455,421,616,35.197,253.15039
400471,35.526,-81.2351,462,1388,35.52258,278.76657
400725,35.4388,-77.8636,479,1488,35.449955,282.12183
406546,40.5268,-74.4278,685,1543,40.516685,285.5749
400531,34.6506,-118.0519,456,276,34.644936,241.939
406587,43.4222,-70.7277,816,1613,43.411583,289.2873
405734,39.8998,-76.8234,647,1482,39.907906,283.16544
404644,44.8391,-69.3061,878,1633,44.844345,290.68442
400464,35.7785,-81.1767,472,1388,35.787823,278.82498
405783,42.932,-78.5649,746,1411,42.921925,281.43256
400924,35.8358,-77.2666,497,1503,35.83682,282.73578
406551,36.7309,-79.5095,516,1430,36.74371,280.47754
406498,30.8152,-83.2589,279,1355,30.82101,276.7527
407131,42.4619,-88.9993,687,1132,42.46619,271.00638
407166,41.7674,-89.8609,659,1110,41.767036,270.12198
407145,40.7666,-90.0074,622,1109,40.77558,269.97757
407268,38.6246,-90.0869,542,1114,38.61405,269.92548
406488,42.1774,-71.9974,762,1592,42.1754,287.99353
406518,44.9486,-69.652,879,1623,44.95024,290.33475
406529,44.4501,-69.7268,861,1627,44.457504,290.27676
406535,44.2776,-69.7547,854,1628,44.270176,290.23456
407228,44.8382,-69.8845,873,1619,44.82847,290.12283
406973,43.5522,-92.3567,720,1038,43.538757,267.6489
406436,40.3974,-74.4497,681,1543,40.4122,285.53973
406520,40.5247,-74.4711,685,1542,40.52337,285.54053
407239,43.2076,-78.9042,755,1400,43.218826,281.10312
407253,42.9521,-77.6998,752,1434,42.95052,282.30493
407273,45.9379,-111.4604,833,538,45.937775,248.55779
407282,42.6582,-77.8581,740,1432,42.646526,282.13974
404831,27.2436,-80.6719,161,1461,27.249681,279.33087
